SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Mayor London Breed,,"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs."
"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Named Organization Sources,Public Works,,"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms."""
Gordon said claims for lost property can be filed with the City Attorney's office.,Named Organization Sources,Public Works,,Gordon said claims for lost property can be filed with the City Attorney's office.
Mayor Breed's office did not respond to requests for comment.,Named Organization Sources,Mayor Breed's office,,Mayor Breed's office did not respond to requests for comment.
"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings.",Named Person Sources,Antonio Robinson,null,"On a grey Thursday morning last week, Antonio Robinson watched as a coterie of cops, workers from the city Department of Public Works, and a pair of outreach specialists descended on his tent."
"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card, he said.",Named Person Sources,Antonio Robinson,null,"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card, he said."
"Despite Public Works’ policy and procedure for documenting, bagging, and tagging most belongings, Robinson said he was unable to find any of his property at the city’s mandated storage facility at 2323 Cesar Chavez St.",Named Person Sources,Antonio Robinson,null,"Despite Public Works’ policy and procedure for documenting, bagging, and tagging most belongings, Robinson said he was unable to find any of his property at the city’s mandated storage facility at 2323 Cesar Chavez St."
"Robinson may have dodged a citation, but his neighbor wasn’t so lucky.",Named Person Sources,Antonio Robinson,null,"Robinson may have dodged a citation, but his neighbor wasn’t so lucky."
"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail.",Named Person Sources,Joey O’Brien,null,"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail."
"After listening for about two minutes, an officer told him that he was being detained for illegal lodging, then put O’Brien in cuffs and led him to a patrol vehicle away from his camp.",Named Person Sources,Joey O’Brien,null,"After listening for about two minutes, an officer told him that he was being detained for illegal lodging, then put O’Brien in cuffs and led him to a patrol vehicle away from his camp."
"O’Brien was polite and contrite, admitting that he had broken several windows in the past while suffering a mental breakdown.",Named Person Sources,Joey O’Brien,null,"O’Brien was polite and contrite, admitting that he had broken several windows in the past while suffering a mental breakdown."
"More than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”",Named Person Sources,Joey O’Brien,null,"More than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”"
"Public Works employees began examining and collecting O’Brien’s possessions as soon as he was detained, without giving him the sorting time required by policy.",Named Person Sources,Joey O’Brien,null,"Public Works employees began examining and collecting O’Brien’s possessions as soon as he was detained, without giving him the sorting time required by policy."
"Eventually, an officer brought a black backpack to O’Brien, but gestured to the truck, now indiscriminately piled high with his property.",Named Person Sources,Joey O’Brien,null,"Eventually, an officer brought a black backpack to O’Brien, but gestured to the truck, now indiscriminately piled high with his property."
"“The other stuff is under all that over there,” the officer said with a shrug. “You’re going to have to pick it up later.”",Named Person Sources,Joey O’Brien,null,"“The other stuff is under all that over there,” the officer said with a shrug. “You’re going to have to pick it up later.”"
"Many unhoused people, including Robinson, say it can be challenging to identify and retrieve their belongings at the facility.",Named Person Sources,Robinson,null,"Many unhoused people, including Robinson, say it can be challenging to identify and retrieve their belongings at the facility."
"When they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.",Named Person Sources,Robinson,null,"When they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps."
