SourcedStatement,SourceType,Name,Title,Justification
"A senior at North Country Union High School in Newport, Wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. Despite telling her not to touch it, Wilburn said the girl “grabbed” her hair.",Named Person Sources,Aaliyah Wilburn,senior at North Country Union High School,"A senior at North Country Union High School in Newport, Wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. Despite telling her not to touch it, Wilburn said the girl “grabbed” her hair."
"“She then told me that I felt like a sheep and she imitated the noises of one,” said Wilburn, a leader with the Vermont Student Anti-Racism Network.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"“She then told me that I felt like a sheep and she imitated the noises of one,” said Wilburn, a leader with the Vermont Student Anti-Racism Network."
"Once, when she was wearing a head covering because she was in the midst of braiding her hair, Wilburn said a student pulled it off and ran away in the school hall.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"Once, when she was wearing a head covering because she was in the midst of braiding her hair, Wilburn said a student pulled it off and ran away in the school hall."
"When she wore a headwrap another time, students said she looked like Marge Simpson and that she looked too African for their comfort. “Later in the day, someone took it off me,” she said.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"When she wore a headwrap another time, students said she looked like Marge Simpson and that she looked too African for their comfort. “Later in the day, someone took it off me,” she said."
"“I wouldn’t be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,” she said in an email.",Named Person Sources,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,"“I wouldn’t be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,” she said in an email."
"Addie Lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools — not just in policies and norms but also in the form of microaggressions and racial bias.",Named Person Sources,Addie Lentzner,executive director of the student anti-racism network,"Addie Lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools — not just in policies and norms but also in the form of microaggressions and racial bias."
"“I think it’s a huge problem in our schools and this bill would help address it,” Lentzner said.",Named Person Sources,Addie Lentzner,executive director of the student anti-racism network,"“I think it’s a huge problem in our schools and this bill would help address it,” Lentzner said."
"Modeled after language promoted as the CROWN Act and already enacted in 23 other states, including New York and Maine, the bill aims to prevent “an erasure and minimization of the experiences of marginalized people,” particularly Black and brown people, Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"Modeled after language promoted as the CROWN Act and already enacted in 23 other states, including New York and Maine, the bill aims to prevent “an erasure and minimization of the experiences of marginalized people,” particularly Black and brown people, Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday."
"For her daughter, she said, it first occurred in pre-school. While picking up her daughter one afternoon she said she was dismayed to find her wearing a stop sign on her chest that read, “Please ask to touch my hair.”",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"For her daughter, she said, it first occurred in pre-school. While picking up her daughter one afternoon she said she was dismayed to find her wearing a stop sign on her chest that read, “Please ask to touch my hair.”"
"A teacher explained that her daughter was reacting to several instances of students touching and petting her hair without her consent, LaMont continued. “So it was in fact my 4-year-old’s idea to make a sign as a signal to her peers to stop violating her body and personal space,” she said.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"A teacher explained that her daughter was reacting to several instances of students touching and petting her hair without her consent, LaMont continued. “So it was in fact my 4-year-old’s idea to make a sign as a signal to her peers to stop violating her body and personal space,” she said."
"In another incident, her daughter’s dance teacher asked to have her recently installed braids taken out so the child’s hair could be put up in a bun to look like the majority of the other white kids in the class.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"In another incident, her daughter’s dance teacher asked to have her recently installed braids taken out so the child’s hair could be put up in a bun to look like the majority of the other white kids in the class."
"LaMont outlined to her House colleagues on Tuesday the ways in which caring for Black hair is a process. It can take a day to wash, dry and detangle and protective styling, such as box braids or twists, can involve 8 to 22 hours of work.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"LaMont outlined to her House colleagues on Tuesday the ways in which caring for Black hair is a process. It can take a day to wash, dry and detangle and protective styling, such as box braids or twists, can involve 8 to 22 hours of work."
"The bill is important, she said then, because “hair type, textures, styles, protective hairstyles” are “a symbol of one’s identity and ability to show up authentically,” which includes “the freedom to take pride in one’s appearance in ways people choose that feels in alignment with the traits that are associated with their race (and) improves confidence, self esteem, dignity and respect.”",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"The bill is important, she said then, because “hair type, textures, styles, protective hairstyles” are “a symbol of one’s identity and ability to show up authentically,” which includes “the freedom to take pride in one’s appearance in ways people choose that feels in alignment with the traits that are associated with their race (and) improves confidence, self esteem, dignity and respect.”"
"Black women’s hair is more likely to be perceived as unprofessional, she said, citing surveys. Many of them feel they must wear their hair straight in a job interview and report being sent home or denied a job because of their hair. The same kind of assumptions are used to prevent students with certain hairstyles from engaging in sports and other activities, she added.",Named Person Sources,Rep. Saudia LaMont,D-Morristown,"Black women’s hair is more likely to be perceived as unprofessional, she said, citing surveys. Many of them feel they must wear their hair straight in a job interview and report being sent home or denied a job because of their hair. The same kind of assumptions are used to prevent students with certain hairstyles from engaging in sports and other activities, she added."
