SourcedStatement,SourceType,Name,Title,Justification
An Oregon proposal would allow felons to vote while incarcerated.,Named Organization Sources,Oregon,,An Oregon proposal would allow felons to vote while incarcerated.
"A Tennessee bill would automatically restore voting rights once a sentence is completed, except for a small group of crimes.",Named Organization Sources,Tennessee,,"A Tennessee bill would automatically restore voting rights once a sentence is completed, except for a small group of crimes."
Texas legislation would restore voting rights to those on probation or parole.,Named Organization Sources,Texas,,Texas legislation would restore voting rights to those on probation or parole.
"In Minnesota, Democratic Gov. Tim Walz on Friday signed a bill restoring voting rights to convicted felons as soon as they get out of prison.",Named Organization Sources,Minnesota,,"In Minnesota, Democratic Gov. Tim Walz on Friday signed a bill restoring voting rights to convicted felons as soon as they get out of prison."
A bill moving through the New Mexico Legislature would do the same.,Named Organization Sources,New Mexico Legislature,,A bill moving through the New Mexico Legislature would do the same.
"“Being able to vote, being able to have a say in what happens in your society, in your state, is extremely important.”",Named Person Sources,TJ King,outreach specialist with the Nebraska AIDS Project,"TJ King had candidates and causes to support, but couldn’t vote in Nebraska’s last election. An outreach specialist with the Nebraska AIDS Project, King came off probation in August after serving time for drug and theft convictions."
"“Restoring voting rights really is an issue where we’ve seen bipartisan momentum,”",Named Person Sources,Patrick Berry,counsel for the Democracy program at the Brennan Center,"Patrick Berry, counsel for the Democracy program at the Brennan Center"
"“You’re civically dead and you can’t vote for the people who are levying those taxes,”",Named Person Sources,Steve Smith,of Civic Nebraska,"Steve Smith of Civic Nebraska, part of a large coalition of groups supporting the measure"
"“When people get out of our system, they’ve got to feel engaged in their community, and the number one way for a person to feel engaged in their community is to be able to vote for the leadership of that community,”",Named Person Sources,Justin Wayne,Democratic state Sen.,"The bill’s author, Democratic state Sen. Justin Wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote."
"“I do think that hopefully the waiting period reinforces the fact that voting is something very special, and hopefully that will be part of the things that an individual would consider if they’re tempted to break the law again,”",Named Person Sources,Kathy Wilcot,member of the University of Nebraska Board of Regents,"Kathy Wilcot, a member of the University of Nebraska Board of Regents, was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill. Wilcot stressed she was speaking as an individual and not on behalf of the university."
"“I felt so hopeless and helpless not being able to have my voice heard in this last election,”",Named Person Sources,TJ King,outreach specialist with the Nebraska AIDS Project,"King, 51, fought addiction for years and spent five years in prison after being convicted of possessing the party drug Ecstasy and theft by deception, ending probation last August."
“I don’t have a say in anything that goes on in my country because I’m a felon.”,Named Person Sources,Demetrius Gatson,executive director of Q.U.E.E.N.S Butterfly House,"Demetrius Gatson is among the more than 10,000 people in Nebraska who has no right to vote because they haven’t completed their sentences. Because of her probation, she will have to wait until 2030 to vote."
"“You can’t harm society by voting,”",Named Person Sources,Steven Scott,owner of a physical rehabilitation and athletic coaching center,"Steven Scott, 33, was paroled in 2015 after serving more than four years on assault and other charges. After his release, he was rejected repeatedly for apartments, got a job only because his boss knew him and had his pursuit of an advanced degree derailed after his record came to light."
"At least 14 states have introduced proposals this year focused on restoration of voting rights, according to the Brennan Center for Justice.",Document Sources,Brennan Center for Justice,,according to the Brennan Center for Justice
"More than 4.6 million people are disenfranchised in the United States because of felony convictions, according to the Sentencing Project, which studies the issue and advocates for restoration of voting rights for former felons.",Document Sources,Sentencing Project,,"according to the Sentencing Project, which studies the issue and advocates for restoration of voting rights for former felons"
"In Nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the Sentencing Project’s director of advocacy, Nicole Porter.",Document Sources,Sentencing Project,,"said the Sentencing Project’s director of advocacy, Nicole Porter"
Several of them said they were confused by the arrests because they had been allowed to register to vote.,Unnamed Group of People,several of them,,several of them said they were confused by the arrests because they had been allowed to register to vote
