SourcedStatement,SourceType,Name,Title,Justification
A spokesperson for Southern California Edison on Monday said the power outages will impact some homes longer than others: They say 20 will be without power indefinitely and 38 will be without power for one to three weeks. The rest were slated to be without power for 24 hours.,Named Organization Sources,Southern California Edison,,A spokesperson for Southern California Edison
"On Thursday, SoCalGas announced that it was shutting off gas service to additional 29 homes in the western Seaview area and another 25 homes in the Portuguese Bend Beach Club starting at 3 p.m. Friday. The shut-offs are expected to last indefinitely, the utility added.",Named Organization Sources,SoCalGas,,the utility
A spokesperson for Southern California Edison told LAist that the utility is not providing generators because they feel the ground is too unstable for that to be a long-term solution.,Named Organization Sources,Southern California Edison,,A spokesperson for Southern California Edison
"On Sunday, Southern California Edison indefinitely cut off electricity to about 140 homes in the Portuguese Bend area of Rancho Palos Verdes.",Named Organization Sources,Southern California Edison,,Southern California Edison officials
"On Sunday, Southern California Edison officials said they will provide a vehicle to serve people who need to charge devices or get information.",Named Organization Sources,Southern California Edison,,Southern California Edison officials
"In February, Rancho Palos Verdes Mayor John Cruikshank said a state of emergency declaration from the governor would allow them to bypass state permit requirements for repair efforts.",Named Person Sources,John Cruikshank,Mayor of Rancho Palos Verdes,Rancho Palos Verdes Mayor
"“The land movement has created a dangerous situation, and Edison is deciding to disconnect to keep that community safe,” said Jim Hanggi, a spokesperson for the utility.",Named Person Sources,Jim Hanggi,Spokesperson for Southern California Edison,a spokesperson for the utility
Gordon Leon told LAist he plans to move into a tiny home on his property and bought four generators to power it.,Named Person Sources,Gordon Leon,null,Impacted resident
"Leon said he and his neighbors are just trying to ""figure out how to survive.”",Named Person Sources,Gordon Leon,null,Impacted resident
"Leon doesn't want to leave his neighborhood because he loves its beauty and that he gets to look at the ocean every day, he said.",Named Person Sources,Gordon Leon,null,Impacted resident
"The city’s mayor, John Cruikshank, told LAist on Monday that Southern California Edison should have done more earlier to transition residents off grid and prevent additional outages.",Named Person Sources,John Cruikshank,Mayor of Rancho Palos Verdes,The city’s mayor
"“We’re hearing that our residents want to stay in their homes, and we're doing everything we can to keep them in their homes,” Cruikshank said.",Named Person Sources,John Cruikshank,Mayor of Rancho Palos Verdes,The city’s mayor
“We're going to do everything we can to push the governor and the federal government to provide them funds.”,Named Person Sources,John Cruikshank,Mayor of Rancho Palos Verdes,The city’s mayor
"Impacted residents, many of whom are older, have disabilities and bought their homes decades ago, have experienced a range of difficult emotions as they’ve been displaced in recent months and watched their community dramatically change due to the land movement.",Unnamed Group of People,Impacted residents,,"many of whom are older, have disabilities and bought their homes decades ago"
Some say they weren’t given sufficient warning about the power shutoffs and aren’t sure where to go.,Unnamed Group of People,Some,,"many of whom are older, have disabilities and bought their homes decades ago"
Others plan to stay.,Unnamed Group of People,Others,,"many of whom are older, have disabilities and bought their homes decades ago"
"Some, he said, are getting ready to leave permanently.",Unnamed Group of People,Some,,"many of whom are older, have disabilities and bought their homes decades ago"
