SourcedStatement,SourceType,Name,Title,Justification
"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.",Named Organization Sources,American Civil Liberties Union,,"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression."
"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are.",Named Organization Sources,VoteRiders,,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are."
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender."
"The ACLU, which is tracking some of these laws and rules, has tried to prepare election workers on how to process trans voters who come into their polling sites.",Named Organization Sources,ACLU,,"The ACLU, which is tracking some of these laws and rules, has tried to prepare election workers on how to process trans voters who come into their polling sites."
"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification.",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,"Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification."
"“Trans votes count,” said Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund.",Named Person Sources,Ankit Rastogi,Director of research for the National Center for Transgender Equality,"Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund."
"“Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID. And so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment,” he said.",Named Person Sources,Lucas Cameron-Vaughn,Attorney for the ACLU of Tennessee,"Lucas Cameron-Vaughn, an attorney for the ACLU of Tennessee."
"“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people,” said Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project.",Named Person Sources,Rose Saxe,Deputy project director for the ACLU’s LGBT & HIV Project,"Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project."
"“We saw it as a move to inflict maximum chaos and misunderstanding,” Diaz said. “And really to scare trans folks from even participating and getting the license if they needed to update it.”",Named Person Sources,Quinn Diaz,Public policy associate at advocacy group Equality Florida,"Quinn Diaz, a public policy associate at advocacy group Equality Florida."
"“They won’t stop me, but I can see how it would stop others,” she said. “It is almost certainly stopping some people from showing up at the polls.”",Named Person Sources,Hazel Krebs,null,"Hazel Krebs, a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law."
"“Our ability to participate in this democracy in Florida, it’s been on the line for a while,” Diaz said. Transgender people, they said, are being “forced to choose between participating in our greatest civic right or just sitting out because the state doesn’t see us for who we are.”",Named Person Sources,Quinn Diaz,Public policy associate at advocacy group Equality Florida,"Quinn Diaz, a public policy associate at advocacy group Equality Florida."
"“Something that’s very frustrating for us at VoteRiders is you will never be able to capture the number of people who do not feel safe voting, and who therefore stay home. And you also won’t be able to capture the people who are trans and show up to try and vote and are turned away.” Kunis said. “And we know that is happening, but it is difficult to quantify.”",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,"Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification."
"“There are definitely the physical dangers, the dangers for harassment, discrimination — but also ultimately, voter suppression,” he said.",Named Person Sources,Lucas Cameron-Vaughn,Attorney for the ACLU of Tennessee,"Lucas Cameron-Vaughn, an attorney for the ACLU of Tennessee."
"“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box,” she said.",Named Person Sources,Josie Caballero,Director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey,"Josie Caballero, director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey."
"“There’s nothing these laws will do to stop me from living my best life,” she said. “It just puts my energy and passion towards making this place better for me and other trans people.”",Named Person Sources,Hazel Krebs,null,"Hazel Krebs, a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law."
"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population.",Document Sources,2022 U.S. Transgender Survey,,"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population."
"Nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license, according to the Center for Democracy and Civic Engagement at the University of Maryland, whose research was partially supported by VoteRiders.",Document Sources,Center for Democracy and Civic Engagement at the University of Maryland,,"Nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license, according to the Center for Democracy and Civic Engagement at the University of Maryland, whose research was partially supported by VoteRiders."
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID.",Unnamed Group of People,Trans people,,"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID."
Gender nonconforming people are already under such public scrutiny nationwide.,Unnamed Group of People,Gender nonconforming people,,Gender nonconforming people are already under such public scrutiny nationwide.
