SourcedStatement,SourceType,Name,Title,Justification
"In Berkeley Unified, water fixtures testing above 1 part per billion are taken offline and repaired.",Named Organization Sources,Berkeley Unified,,"Berkeley Unified, a neighboring school district with stricter lead contamination thresholds, cited as a comparison."
Alameda County recommends that any families who were notified that their schools had elevated lead levels should get their child a blood lead test.,Named Organization Sources,Alameda County,,"Alameda County, which provided recommendations for families regarding lead testing for children."
"“This mistake has caused families stress, anxiety and panic, further limiting our community’s trust in this district,” said Max Simmons, one of OUSD’s student directors.",Named Person Sources,Max Simmons,student director,Max Simmons is one of OUSD’s student directors and represents the student perspective on the lead contamination issue.
"“I sincerely apologize for the stress and concern this has caused our school sites, students and families. We understand the gravity of this situation and we are fully committed to taking immediate, transparent and corrective action,” she said.",Named Person Sources,Kyla Johnson-Trammell,Superintendent,"Kyla Johnson-Trammell, the Superintendent of OUSD, who apologized for the delayed response and committed to corrective actions."
"“There is so much trust rebuilding that has to be done for our community. We have failed. And when I say ‘we’ I mean OUSD has failed at its most basic job of not poisoning our students,” said Stuart Loebl, a sixth-grade science teacher at Frick.",Named Person Sources,Stuart Loebl,sixth-grade science teacher,"Stuart Loebl, a teacher at Frick United Academy of Language, who expressed concerns about the district’s failure to address lead contamination promptly."
"“Why didn’t you do your job? You knew months ago that the water was contaminated. You didn’t act, and you let those kids come back to school and drink poisoned water,” said Marina Muñoz, a parent at Madison Park Academy and an organizer with Communities for a Better Environment.",Named Person Sources,Marina Muñoz,parent and organizer,"Marina Muñoz, a parent and organizer, who criticized the district’s inaction and demanded accountability for the lead contamination."
"“This is not new to Oakland, but it is something that we need to tackle as an entire city, and we need to have community partners, philanthropic partners, as well as our county and state folks to support us in dealing with this issue,” she said.",Named Person Sources,Valarie Bachelor,Director and chair of OUSD’s facilities committee,"Valarie Bachelor, the chair of OUSD’s facilities committee, who emphasized the need for a collaborative approach to address the lead contamination issue."
The district’s safe drinking water policy states that any water sources showing lead at above 5 parts per billion must be taken offline and repaired.,Document Sources,Oakland Unified School District,,"The district’s safe drinking water policy, which outlines the threshold for lead contamination and required actions."
"In 2017, when OUSD was considering its clean drinking water policy, the cost to upgrade all the pipes would have been $38 million, Thomas said.",Document Sources,Oakland Unified School District,,"The clean drinking water policy considered by OUSD in 2017, which included cost estimates for pipe upgrades."
"Parents, students and school staff demanded transparency and answers about why they were kept in the dark.",Unnamed Group of People,"parents, students and school staff",,Community members who were affected by the lead contamination issue and attended the school board meeting to demand answers.
"Community members, many of whom raised concerns two weeks ago, were skeptical.",Unnamed Group of People,community members,,Community members who had previously raised concerns about the lead contamination issue and expressed skepticism during the meeting.
"Teachers from Frick United Academy of Language demanded to know why, if testing took place in April, fountains weren’t shut down until August.",Unnamed Group of People,teachers from Frick United Academy of Language,,Teachers from Frick United Academy of Language who were directly impacted by the delayed response to lead contamination.
