SourcedStatement,SourceType,Name,Title,Justification
The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols.,Named Organization Sources,Poor People’s Campaign,,The Poor People’s Campaign is organizing significant voter mobilization efforts across multiple states.
"The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols to launch “the campaign and highlight the policies being promulgated in state houses across the country that are hurting the poor or distracting from addressing the real issues facing poor and low-wealth people,” according to the PPC.",Named Organization Sources,Poor People’s Campaign,,The Poor People’s Campaign aims to address policies that negatively impact poor and low-wealth individuals.
"“They’re saying that they’re not voting because people are not speaking to their issues and that they’re just not interested in those candidates,” Hartley, told the New York Times “But it’s not that they couldn’t be.”",Named Person Sources,Robert Paul Hartley,Columbia University researcher,Robert Paul Hartley's research highlights reasons for low voter turnout among low-income voters.
"“In 2024, the election is going to be about mobilization,” Lake told reporters.",Named Person Sources,Celinda Lake,President of Lake Research Partners,Celinda Lake provides expert analysis on the importance of voter mobilization in the upcoming election.
"“For far too long extremists have blamed poor people and low wage people for their plight while moderates too often have ignored poor people, appealing instead to the so-called middle class while the poor and low wage people have become nearly half of this country,” Barber told reporters.",Named Person Sources,William Barber,Rev. Dr.,Rev. Dr. William Barber discusses the political neglect of poor and low-wage people and their potential electoral impact.
"“We are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing of our communities and world,” said Rev. Dr. Liz Theoharis",Named Person Sources,Liz Theoharis,Rev. Dr.,Rev. Dr. Liz Theoharis outlines the goals of the Poor People's Campaign in mobilizing voters.
"“This is why I am organizing with the Massachusetts Poor People's Campaign. We have got to get our power as people, get back the mic, raise our voices and register voters. Forward together!""",Named Person Sources,Janice Guzman,organizer with the Massachusetts Poor People's Campaign and SEIU 1199,Janice Guzman shares her personal experiences and motivations for organizing with the Poor People's Campaign.
"Columbia University researcher Robert Paul Hartley found that only 46 percent of voters with household income less than twice the federal poverty rate cast a ballot in 2016, as compared to a 68 percent turnout rate for voters who had a household income more than twice the poverty line.",Document Sources,Columbia University,,Columbia University study provides data on voter turnout disparities based on income.
"980,000 low-wage voters did not turn out.",Unnamed Group of People,low-wage voters,,low-wage voters are a significant portion of the electorate that could influence election outcomes.
"920,000 poor and low-wealth voters sat it out.",Unnamed Group of People,poor and low-wealth voters,,poor and low-wealth voters represent a large group whose engagement could change election results.
