SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Mayor London Breed,,Mayor London Breed’s statement on the intention of the sweeps.
"Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Named Organization Sources,Public Works,,Public Works spokesperson Rachel Gordon’s statement on the policy.
"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings.",Named Person Sources,Antonio Robinson,null,"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card."
Robinson did not accept it.,Named Person Sources,Antonio Robinson,null,"Robinson may have dodged a citation, but his neighbor wasn’t so lucky."
"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail.",Named Person Sources,Joey O’Brien,null,O’Brien had a warrant for failing to appear for a previous court date.
"Julian Highsmith, communications and policy director for the Coalition on Homelessness, said, “Typically, with city sweeps, they give 72 hours of notice with location and time, and we were following that, but they didn’t follow that usual rule.”",Named Person Sources,Julian Highsmith,communications and policy director for the Coalition on Homelessness,Highsmith told Gazetteer he believes the city may have gotten wind of the group’s planned sweep disruption and undercut it in order to prevent unhoused people from organizing with their advocates during an enforcement.
"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.",Document Sources,Public Works,,Public Works policy
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Document Sources,federal survey,,A federal survey released in May
"A small group of protesters regrouped at City Hall for a series of chants and short speeches, holding a symbolic police citation for Breed that accused her of violating human rights.",Unnamed Group of People,protesters,,"The group planned live performances, speeches, and outreach, to take place at the same time as SFPD and Department of Public Works enforcement."
"Dozens of people lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another.",Unnamed Group of People,people,,A visit to Jessie and Sixth streets in SoMa after the rally showed how futile these sweeps can be.
