SourcedStatement,SourceType,Name,Title,Justification
"Nebraska lawmakers passed a bill Thursday to restore the voting rights of those convicted of felonies upon the completion of their sentences, including prison and parole time.",Named Organization Sources,,,
"The bill, introduced for years by Omaha state Sen. Justin Wayne, passed by a wide margin in the last year of Wayne’s second term.",Named Organization Sources,,,
"Currently, a person who has been convicted of a felony must wait two years after completing all the terms of their conviction before regaining voting rights.",Named Organization Sources,,,
"Prior to the waiting period, a person convicted of a felony lost their right to vote indefinitely.",Named Organization Sources,,,
"For years, Wayne’s effort to restore voting rights for felons faced opposition from several Republicans in the officially nonpartisan Nebraska Legislature.",Named Organization Sources,,,
"Until this year, Wayne’s closest brush with success came in 2017, when his bill was passed by the Legislature but vetoed by then-Republican Gov. Pete Ricketts.",Named Organization Sources,,,
Republican Gov. Jim Pillen’s office did not immediately respond to messages Thursday by The Associated Press asking whether he would sign the bill into law.,Named Organization Sources,,,
Republican Gov. Jim Pillen’s office did not immediately respond to messages Thursday by The Associated Press asking whether he would sign the bill into law.,Named Organization Sources,,,
"In Florida, lawmakers weakened a 2018 voter-approved constitutional amendment to restore the voting rights of most convicted felons.",Named Organization Sources,,,
"In Tennessee, lawmakers on Wednesday killed a bipartisan bill for the year that would have let residents convicted of felonies apply to vote again without also restoring their gun rights.",Named Organization Sources,,,
"As of October 2023, 26 states and the District of Columbia had expanded voting rights to people living with felony convictions, according to The Sentencing Project, a nonprofit sentencing advocacy group that studies criminal justice policy.",Named Organization Sources,,,
"The bill, introduced for years by Omaha state Sen. Justin Wayne, passed by a wide margin in the last year of Wayne’s second term.",Named Person Sources,Justin Wayne,,Omaha state Sen. Justin Wayne
He is barred by term limits from running this year for a third term.,Named Person Sources,Justin Wayne,,Omaha state Sen. Justin Wayne
"Wayne’s measure eliminates that waiting period, established in 2005 by the Legislature.",Named Person Sources,,,
"The passage of the bill “means everything for the thousands of people who have not been full participants in society,” said TJ King, a Nebraska-based outreach specialist with the advocacy group Black and Pink who was unable to vote in the 2022 general election after coming off probation for drug and theft convictions three months earlier.",Named Person Sources,,,
King said the bill’s passage is the final layer in his ability to be civically engaged and “have a full voice and complete connection to the community.”,Named Person Sources,,,
"Until this year, Wayne’s closest brush with success came in 2017, when his bill was passed by the Legislature but vetoed by then-Republican Gov. Pete Ricketts.",Named Person Sources,,,
He prevailed by appealing to the practical sensibilities of law-and-order lawmakers.,Named Person Sources,,,
"“Studies have shown that if you allow people to engage in their community upon being released, the recidivism rate drops,” Wayne said during a public hearing for the bill last year.",Named Person Sources,,,
"“We spend on average $42,000 a year on prisoners, of which we have around a 30 percent recidivism rate.",Named Person Sources,,,
"“One year, I brought in a little chart that says if we just cut it by 10 percent, we’re saving around $5 million a year.”",Named Person Sources,,,
"Following that, an election police unit championed by Republican Gov. Ron DeSantis arrested 20 former felons.",Named Person Sources,,,
"As a result, voting rights have been restored to over 2 million people, said Nicole Porter, senior director of advocacy at The Sentencing Project.",Named Person Sources,,,
"Associated Press writer Gary Fields contributed to this report from Washington, D.C.",Named Person Sources,,,
Opponents maintained that a two-year waiting period is reasonable and served as a deterrent to committing crime in the first place.,Unnamed Group of People,Opponents,,"For years, Wayne’s effort to restore voting rights for felons faced opposition from several Republicans in the officially nonpartisan Nebraska Legislature."
