SourcedStatement,SourceType,Name,Title,Justification
"He began earning endorsement deals, and was profiled in several mainstream news publications, telling the New York Times he wanted to buy a multi-thousand dollar DDR arcade cabinet.",Named Organization Sources,,,
"For his prowess at pretending to play the song, the Guinness Book awarded him a record for best Guitar Hero player in the world.",Named Organization Sources,,,
"In 2017, shortly after Chike won the Konami Arcade Championship (the World Cup of DDR), Clark accompanied him to an arcade in San Jose called Round1, where he planned to set a world record: Completing a level 19 DDR song, the highest level currently available, with absolutely perfect timing.",Named Organization Sources,,,
"At the onset of the pandemic, Chike got laid off from his tech job.",Named Organization Sources,,,
"He did an ad spot for Taco Bell in 2021, operating at maybe a fifth of his full skill.",Named Organization Sources,,,
"“It wasn't anything serious,” he told Gazetteer SF over FaceTime from his home in Hayward.",Named Person Sources,Chris Chike,,he; from his home in Hayward
“I wasn't extremely good at the game or anything.”,Named Person Sources,Chris Chike,,he
"“He's the GOAT,” according to friend Roger Clark, a San Francisco programmer and longtime DDR enthusiast.",Named Person Sources,Roger Clark,programmer,friend; a San Francisco programmer and longtime DDR enthusiast
“Everybody knows it.,Named Person Sources,Roger Clark,programmer,friend; a San Francisco programmer and longtime DDR enthusiast
No one would deny it.”,Named Person Sources,Roger Clark,programmer,friend; a San Francisco programmer and longtime DDR enthusiast
"He began earning endorsement deals, and was profiled in several mainstream news publications, telling the New York Times he wanted to buy a multi-thousand dollar DDR arcade cabinet.",Named Person Sources,Chris Chike,,He
"(“We’re learning to pay for things when we have the money,” his mom, who reportedly managed those deals, told the outlet.)",Named Person Sources,his mom,,"his mom, who reportedly managed those deals"
"“I don’t think I would have any other reason to take it so seriously if it wasn’t for the community and the competition,” he said.",Named Person Sources,Chris Chike,,he
“You discover this group of people who’s really like-minded.,Named Person Sources,Chris Chike,,he
"It’s a really rare thing, because out in the normal world, there’s not a lot of people who think like me or have similar hobbies or have the grinder mentality for video games like me.”",Named Person Sources,Chris Chike,,he
"“Whenever you meet someone who plays DDR, you kind of don't really care that much what they're doing outside of the game, right?”",Named Person Sources,Roger Clark,,Clark
"In all of his years of knowing Chike, he could not recall a time when they'd talked about their jobs, despite both spending years working in the tech industry here.",Named Person Sources,Roger Clark,,Clark
"It’s something that few other elite Dance Dance Revolution players really bother with, Clark said.",Named Person Sources,Roger Clark,,Clark
"“How someone can even have the physical stamina to do that let alone have the mental fortitude to continue when one tiny mistake is the end of the run … it’s hard to even come up with words for this kind of thing,” Clark said.",Named Person Sources,Roger Clark,,Clark
"“It's literally Olympics level, astronaut level.”",Named Person Sources,Roger Clark,,Clark
He describes it as a blessing in disguise.,Named Person Sources,Chris Chike,,He
"“I was, like, I get to quit and have severance at the same time — it was almost a win-win, ‘cause I was already a little bit checked out,” he said.",Named Person Sources,Chris Chike,,he
"Chike told Gazetteer he’s saved enough to keep him afloat for a few years, helped along by the occasional brand deal.",Named Person Sources,Chris Chike,,Chike
"“I don't think I can physically do this forever,” he said.",Named Person Sources,Chris Chike,,he
"“I'm getting up there, I just turned 33 this week.",Named Person Sources,Chris Chike,,he
So I'm just taking advantage of it while I can.”,Named Person Sources,Chris Chike,,he
"The mixture of talent, endurance, and the good fortune of coming up at DDR’s peak is a one-in-a-million combination, as his friend Clark proudly pointed out.",Named Person Sources,Roger Clark,,his friend Clark
"“This is the best that anyone in the human race could possibly achieve at this thing,” Clark told Gazetteer.",Named Person Sources,,,Clark
Multiple contemporaneous comments called him a “god”; one commenter heralded the task as “the pinnacle of human brain potential.”,Unnamed Group of People,comments,,Multiple contemporaneous comments; one commenter
"When he started uploading practice videos in 2006, observers marveled at his skill.",Unnamed Group of People,observers,,observers
"A sample comment on one of his practice runs, months before he made history: “that performance... no other way to describe it but... FUCKING LEGENDARY.”",Unnamed Group of People,comment,,"A sample comment on one of his practice runs, months before he made history"
"He kept joining local tourneys, both to hone his skills and to find his people — a small but devout base of DDR players that still, today, celebrate these triumphs of coordination and footwork.",Unnamed Group of People,DDR players,,"a small but devout base of DDR players that still, today, celebrate these triumphs of coordination and footwork"
"“I had no idea he could do shit like that,” someone uttered in the crowd, in awe, in a video of his display.",Unnamed Group of People,the crowd,,in the crowd
Most top-tier active DDR players are in their late teens and twenties.,Unnamed Group of People,top-tier active DDR players,,Most top-tier active DDR players
