SourcedStatement,SourceType,Name,Title,Justification
"The California Nurses Association (CNA), the largest union of registered nurses in the state, sponsored SB 1015 to support nursing students seeking placement in the workforce.",Named Organization Sources,California Nurses Association (CNA),,the largest union of registered nurses in the state
The bill authored by Sen. Dave Cortese (D-San Jose) aims to address the nursing shortage in the state’s workforce.,Named Person Sources,Dave Cortese,Sen.,(D-San Jose)
Sen. Cortese said that SB 1015 ensures that the state meets the growing demand in the nursing field.,Named Person Sources,Dave Cortese,Sen.,
"“As California’s population ages and becomes increasingly more diverse, we will need a qualified and experienced nursing workforce to meet the unique demands and varied needs of all patients.",Named Person Sources,Dave Cortese,Sen.,
"That is why we must have appropriate nurse staffing levels which have proven to reduce mortality rates, reduce hospital length of stays, and reduce the number of preventable events such as falls and infections,” said Cortese.",Named Person Sources,Dave Cortese,Sen.,
"Cathy Kennedy, a Registered Nurse and president of the CNA, said that SB 1015 helps nursing students receive a clinical education and placement amid the nationwide staffing crisis, despite their socioeconomic background.",Named Person Sources,Cathy Kennedy,Registered Nurse and president,a Registered Nurse and president of the CNA
"“Clinical education is an essential part of any nurse’s education, yet aspiring nurses, especially students in public programs, are being denied access to clinical placements,” said Kennedy.",Named Person Sources,Cathy Kennedy,Registered Nurse and president,
“We applaud the California Senate for passing S.B. 1015.,Named Person Sources,Cathy Kennedy,Registered Nurse and president,
"It is commonsense reform that will increase transparency and increase oversight from the Board of Registered Nursing,” she added.",Named Person Sources,Cathy Kennedy,Registered Nurse and president,
"According to the Board of Registered Nursing, 92 out of 152 publicly funded nursing programs were denied access to clinic placements.",Document Sources,Board of Registered Nursing,,According to the Board of Registered Nursing
The program officials reported that the inability to secure clinical placements is one of the main reasons for not enrolling more students.,Document Sources,Board of Registered Nursing,,According to the Board of Registered Nursing
"Nurses across California may soon have easier access to more career opportunities, if Gov. Gavin Newsom signs a new bill into law.",Unnamed Group of People,Nurses,,Nurses across California
"Under SB 1015, the State would ensure clinical placement opportunities for California’s future nurses, including nurses attending community colleges, state universities, and other public institutions.",Unnamed Group of People,nurses,,"California’s future nurses, including nurses attending community colleges, state universities, and other public institutions"
"The California Nurses Association (CNA), the largest union of registered nurses in the state, sponsored SB 1015 to support nursing students seeking placement in the workforce.",Unnamed Group of People,nursing students,,nursing students seeking placement in the workforce
"Cathy Kennedy, a Registered Nurse and president of the CNA, said that SB 1015 helps nursing students receive a clinical education and placement amid the nationwide staffing crisis, despite their socioeconomic background.",Unnamed Group of People,nursing students,,nursing students
"“Clinical education is an essential part of any nurse’s education, yet aspiring nurses, especially students in public programs, are being denied access to clinical placements,” said Kennedy.",Unnamed Group of People,aspiring nurses,,"aspiring nurses, especially students in public programs"
