SourcedStatement,SourceType,Name,Title,Justification
"This May, the Economic Roundtable, the nonprofit research organization the city commissioned to carry out the study, submitted its report to the L.A. Housing Department.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"Four months later, the city still has not released it publicly.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
The independent analysis found some of the city’s rules governing rent increases have favored landlords over tenants.,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"The report recommends changes that could lower the rent hikes tenants face each year, setting up what is sure to be a fierce debate at city hall.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"Over the course of 193 pages, the report offers an extensive analysis of the L.A. rental housing market, challenges facing both tenants and landlords, and the impact of the city’s Rent Stabilization Ordinance.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"Among the findings: - About 35% of the rent L.A. tenants pay goes to operating expenses for apartment buildings, on average.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"This includes maintenance, utilities, insurance, payroll and other routine costs.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
Landlords can use the remainder to cover mortgages and turn a profit.,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"- From January 2020 through January 2023, 4 in 10 rent-controlled L.A. apartments became vacant.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
These higher rents helped landlords absorb the impact of a nearly four-year freeze on rent hikes.,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"- Many expenses have risen sharply for landlords in recent years, outpacing inflation.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
Property insurance costs have roughly doubled since 2020.,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"However, the report notes these expenses make up a relatively small portion of overall costs.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
- About one-fifth of L.A. renters are living below the federal poverty line.,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
- The city’s current range of allowable annual rent increases — anywhere from 3% to 8% depending on inflation — is higher than the increases permitted in most other California cities with rent control.,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
The report makes some recommendations on how the city could change its formula for determining annual rent increase limits:,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"- Either eliminate a provision allowing landlords to raise rents an extra 1% per year if they pay for a tenant’s gas, plus another 1% if they pay for electricity — or replace it.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"One option, the report says, would be to instead use a surcharge that better captures the increased costs of providing those utilities.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
- Change how annual rent increases are calculated.,Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"Instead of using a version of the consumer price index driven to a large degree by housing cost inflation, the report recommends a different index that excludes housing costs.",Document Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
