SourcedStatement,SourceType,Name,Title,Justification
"Since formally accepting the Democratic nomination last week, Harris has embarked on a tour of battleground states including Georgia, where Biden had been hemorrhaging support before he ended his campaign.",Named Organization Sources,Democratic National Convention,,formally accepting the Democratic nomination last week
"""It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,"" Matt Wolking, a Republican campaign strategist who worked on Trump's 2020 campaign, said in response to the Reuters/Ipsos poll results.",Named Person Sources,Matt Wolking,Republican campaign strategist,worked on Trump's 2020 campaign
"""We see it in this poll that people are more motivated about the future than the past,"" said Aimee Allison, founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office.",Named Person Sources,Aimee Allison,founder of She the People,"founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office"
Democrat Kamala Harris leads Republican Donald Trump 45% to 41% in a Reuters/Ipsos poll published on Thursday that showed the vice president sparking new enthusiasm among voters and shaking up the race ahead of the Nov. 5 election.,Document Sources,Reuters/Ipsos,,Reuters/Ipsos poll published on Thursday
A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Document Sources,Bloomberg News/Morning Consult,,Bloomberg News/Morning Consult poll published later on Thursday
And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump...,Document Sources,Reuters/Ipsos,,March Reuters/Ipsos poll
Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race.,Unnamed Group of People,Democratic registered voters,,Democratic registered voters in the Reuters/Ipsos poll
52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.,Unnamed Group of People,Harris voters,,Harris voters in the August poll
64% [of Trump voters] said their choice was more motivated by backing Trump than opposing Harris.,Unnamed Group of People,Trump voters,,Trump voters
Some 41% of voters in the poll - and 70% of Democrats - said they were worried the next president might sign a national ban on abortions.,Unnamed Group of People,voters,,voters in the poll
