SourcedStatement,SourceType,Name,Title,Justification
"""Jaws dropped,"" Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting. ""The providers recognized those folks and came to the realization that if they’re falling through the cracks in their system, who ends up dealing with them?""",Named Person Sources,Jim Baker,consultant for a state public safety enhancement initiative,a consultant for a state public safety enhancement initiative
"""We’re trying to get everything we have out to the service providers so that they can use that data to inform their decision-making.""",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,Brattleboro Assistant Police Chief
"""You have a lot of people looking for help,"" Evans said, ""but there’s a small percentage that, for whatever reason, are unable or unwilling to accept it.""",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,Brattleboro Assistant Police Chief
"""Unfortunately, many of those are providers,"" Evans said, ""which creates a huge, huge problem.""",Named Person Sources,Jeremy Evans,Brattleboro Assistant Police Chief,Brattleboro Assistant Police Chief
"""This is where the community service providers can really help,"" she said of the latter percentage.",Named Person Sources,Robin Joy,the Crime Research Group’s statistical director,the Crime Research Group’s statistical director
"""We need to consider our own boundaries around increasing safety and reducing risks,"" Groundworks executive director Libby Bennett said upon this April’s first anniversary of the death. ""We all understand we’re upholding these out of respect for each other.""",Named Person Sources,Libby Bennett,Groundworks executive director,Groundworks executive director
"""All of us area agencies, we are doing everything humanly possible that we can do,"" said Christine Allen, executive director of Turning Point of Windham County. ""We are so straight out, working our tails off — and we can’t do this without the police.""",Named Person Sources,Christine Allen,executive director of Turning Point of Windham County,executive director of Turning Point of Windham County
"""We were looking at real information that made us have some quite difficult conversations,"" Quipp said following the session. ""Here’s the name of this person who has trespassed at this place, this place, this place, this place, this place and we know that they need these kinds of services. What can we do as a group of people who are working together to try to make a better, safer Brattleboro to actually meet that person’s needs?""",Named Person Sources,Daniel Quipp,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action
"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter (authorities received 181 calls there in the first half of this year), as well as to such downtown locations as the Whetstone path park (112 calls so far in 2024), the Groundworks Collaborative shelter (93) and Transportation Center parking garage (57).",Document Sources,Crime Research Group,,A study by the Vermont nonprofit Crime Research Group
"Most calls about the top 20 didn’t involve criminal behavior, but instead disorderly conduct, disputes and disturbances often linked to alcohol and drug use or mental health issues, municipal statistics show.",Document Sources,null,,municipal statistics show
"""It is our hope that this data will provide organizations with more knowledge about where and when their services might be most effectively directed and promote discussion on how to best address concerns.""",Document Sources,null,,in his memo
