SourcedStatement,SourceType,Name,Title,Justification
A Southwest spokesperson told The Oaklandside that the assertion that any Oakland employee was forced to work while sick or take unpaid absences is unfounded.,Named Organization Sources,Southwest Airlines,,Southwest spokesperson
"“Southwest Airlines fully complies with applicable sick leave laws in Oakland and California, as well as with the terms of a December 2020 settlement agreement with the city,” the spokesperson said in a statement.",Named Organization Sources,Southwest Airlines,,Southwest spokesperson
"In a press release, the city attorney said Southwest’s practices were especially detrimental during the COVID-19 pandemic, when workers were forced to report to work even when they were sick.",Named Organization Sources,City of Oakland,,the city attorney
"Some of the newer complaints from Southwest workers were filed with Oakland’s Department of Workforce Employment Standards, which enforces wage and hour laws in the city.",Named Organization Sources,Oakland’s Department of Workforce Employment Standards,,enforces wage and hour laws in the city
"“The City of Oakland is committed to protecting workers by ensuring that all employers in Oakland are complying with laws that protect their rights,” Parker said in a statement.",Named Person Sources,Barbara Parker,City Attorney,City Attorney Barbara Parker filed a lawsuit in Alameda County Superior Court
"“We are grateful that the City of Oakland is holding Southwest accountable. We hope that Southwest policies and practices will finally change for good,” Eric Swygert, a Southwest employee and an elected ramp representative with the Transport Workers Union of America Local 555, said in a statement.",Named Person Sources,Eric Swygert,Southwest employee and an elected ramp representative with the Transport Workers Union of America Local 555,a Southwest employee and an elected ramp representative with the Transport Workers Union of America Local 555
"According to the complaint, Southwest has been denying some of its workers in Oakland the right to use earned paid sick leave.",Document Sources,Alameda County Superior Court,,the complaint filed in Alameda County Superior Court
"In December 2020, the city and Southwest signed a settlement in which, among other things, the airline agreed to fully restore the sick leave hours it had canceled for certain workers between 2017 and 2020.",Document Sources,City of Oakland and Southwest Airlines,,the 2020 settlement agreement
"Oakland has several laws that protect workers, including Measure FF, a 2014 ordinance approved by Oakland voters that established a minimum wage and requires employers to provide paid sick leave to employees.",Document Sources,City of Oakland,,"Measure FF, a 2014 ordinance approved by Oakland voters"
"Last year, this relatively new department ordered a Radisson Hotel in East Oakland to pay $404,491 to workers who were allegedly underpaid for nearly a year.",Document Sources,Oakland’s Department of Workforce Employment Standards,,the order from Oakland’s Department of Workforce Employment Standards
