SourcedStatement,SourceType,Name,Title,Justification
"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.",Named Organization Sources,American Civil Liberties Union,,lawyers for the American Civil Liberties Union have drafted a letter reminding election workers
"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure.",Named Organization Sources,ACLU,,claiming the rule was adopted illegally because it didn’t follow proper administrative procedure
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,the state’s leading LGBTQ+ advocacy group
VoteRiders is conducting year-round voter education.,Named Organization Sources,VoteRiders,,null
"The ACLU, which is tracking some of these laws and rules, has tried to prepare election workers on how to process trans voters who come into their polling sites.",Named Organization Sources,ACLU,,which is tracking some of these laws and rules
"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification.",Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,which helps voters obtain identification
“And I would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.”,Named Person Sources,Lauren Kunis,CEO and executive director of VoteRiders,which helps voters obtain identification
"“Trans votes count,” said Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund.",Named Person Sources,Ankit Rastogi,director of research for the National Center for Transgender Equality,which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund
"“Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID. And so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment,” he said.",Named Person Sources,Lucas Cameron-Vaughn,attorney for the ACLU of Tennessee,attorney for the ACLU of Tennessee
"“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people,” said Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project.",Named Person Sources,Rose Saxe,deputy project director for the ACLU’s LGBT & HIV Project,deputy project director for the ACLU’s LGBT & HIV Project
"“We saw it as a move to inflict maximum chaos and misunderstanding,” Diaz said. “And really to scare trans folks from even participating and getting the license if they needed to update it.”",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,public policy associate at advocacy group Equality Florida
"“They won’t stop me, but I can see how it would stop others,” she said. “It is almost certainly stopping some people from showing up at the polls.”",Named Person Sources,Hazel Krebs,null,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
"“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box,” she said.",Named Person Sources,Josie Caballero,director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey,director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey
"At least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.",Document Sources,Movement Advancement Project (MAP),,which tracks LGBTQ+ policy
"An analysis released in August of respondents to the 2022 U.S. Transgender Survey, widely seen as the most comprehensive study of binary and nonbinary transgender Americans, found that voting-eligible trans people had cast ballots in the last presidential election at a higher rate than the U.S. population.",Document Sources,National Center for Transgender Equality,,widely seen as the most comprehensive study of binary and nonbinary transgender Americans
"Some advocacy groups and lawmakers in Florida also argue the state’s new regulations conflict with the federal Real ID Act, but that question is unlikely to be resolved before November.",Document Sources,federal Real ID Act,,Some advocacy groups and lawmakers in Florida also argue the state’s new regulations conflict with the federal Real ID Act
"Advocates are fighting back. They’ve been mobilizing communities and organizing resources to help transgender Americans, an effort aimed at safeguarding their civic rights.",Unnamed Group of People,advocates,,an effort aimed at safeguarding their civic rights
"The ripple effect could extend beyond trans people, these advocates warn. Regulations around gender impact cisgender people, particularly women and women of color.",Unnamed Group of People,advocates,,these advocates warn
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID.",Unnamed Group of People,Trans people,,"just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID"
"Black and Hispanic people are among those most likely not to have a current license, so the requirement harms them too, regardless of their gender identity.",Unnamed Group of People,Black and Hispanic people,,among those most likely not to have a current license
Gender nonconforming people are already under such public scrutiny nationwide.,Unnamed Group of People,Gender nonconforming people,,already under such public scrutiny nationwide
