SourcedStatement,SourceType,Name,Title,Justification
"The U.S. Army was making 14,000 artillery shells a month prior to the conflict. Now, officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",Named Organization Sources,Scranton Army Ammunition Plant,,officials at the plant
"The Tobyhanna Army Depot, which specializes in logistics support and radar equipment for foreign allies such as Ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",Named Organization Sources,Tobyhanna Army Depot,,specializes in logistics support and radar equipment for foreign allies such as Ukraine
"Officials at Tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern Pennsylvania, which is around $58,000 in 2021.",Named Organization Sources,Tobyhanna Army Depot,,Officials at Tobyhanna
"Ukraine has said that it will need more ammunition from The United States and other allies, since Russia is able to produce ammunition at a much faster rate.",Named Organization Sources,Ukraine,,Ukraine has said that it will need more ammunition from The United States and other allies
"The Biden administration announced this month it would be sending an additional $250 million dollars worth of new military aid to Ukraine, including air defense missiles and 155mm howitzer rounds.",Named Organization Sources,Biden administration,,announced this month it would be sending an additional $250 million dollars worth of new military aid to Ukraine
"“We’re all about quality jobs, and that’s a quality organization,” Bob Durkin, the president and chief executive officer of the Scranton Chamber of Commerce said. “So the infusion of additional funding to support is important to us.”",Named Person Sources,Bob Durkin,president and chief executive officer of the Scranton Chamber of Commerce,the president and chief executive officer of the Scranton Chamber of Commerce
"“It’s not $277 million that stays here. But, you know, it’s a good chunk of it,” Cartwright said. “And it’s important that we keep that work coming.”",Named Person Sources,Matt Cartwright,Congressman who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania,Congressman who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania
"“I don’t really think that people dwell or concentrate on anything that’s going on outside of their sphere of influence,” Rich Hansen, the Commander’s Representative at the Scranton Army Ammunition Plant, said. we’re kind of busy concentrating on what’s going on in Scranton.”",Named Person Sources,Rich Hansen,Commander’s Representative at the Scranton Army Ammunition Plant,Commander’s Representative at the Scranton Army Ammunition Plant
"“We had a job fair in the middle of a heat wave and there was still a line going out of the door,” Danielle Weinschenk, the lead Public Affairs Specialist at the Tobyhanna Army Depot said. “We had another one when it was pouring rain, and the same thing happened.”",Named Person Sources,Danielle Weinschenk,lead Public Affairs Specialist at the Tobyhanna Army Depot,lead Public Affairs Specialist at the Tobyhanna Army Depot
"“With the Ukraine support, you know, one day I was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die,” said Jim Jarick, a senior technology center engineer at the Tobyhanna Army Depot. “If we aren’t doing our job correctly, people could die tomorrow. And that just put this whole thing in perspective for me.”",Named Person Sources,Jim Jarick,senior technology center engineer at the Tobyhanna Army Depot,senior technology center engineer at the Tobyhanna Army Depot
"“At the height of last year’s counteroffensive, the Ukrainians were firing about 6,000 a day, ” Cancian said. “The Russians are [firing] probably about 10,000 a day.”",Named Person Sources,Mark Cancian,senior advisor at the Center for Strategic and International Studies,senior advisor at the Center for Strategic and International Studies
"“Our first task is to save our people,” Popov said. “Without artillery, we cannot do this.”",Named Person Sources,Col. Olksandr Popov,commander of a Ukrainian artillery unit,commander of a Ukrainian artillery unit
