SourcedStatement,SourceType,Name,Title,Justification
"The Economic Roundtable, the nonprofit research organization the city commissioned to carry out the study, submitted its report to the L.A. Housing Department.",Named Organization Sources,Economic Roundtable,,the nonprofit research organization the city commissioned to carry out the study
"Daniel Yukelson with the Apartment Association of Greater Los Angeles pointed to recent data from the National Apartment Association, a trade group for property owners, concluding that California landlords earn 7 cents of profit on average for every dollar of rent.",Named Organization Sources,National Apartment Association,,a trade group for property owners
"Christina Boyar, a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition.",Named Organization Sources,Public Counsel,,a legal fellow with Public Counsel
"Christina Boyar, a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition.",Named Organization Sources,Keep L.A. Housed coalition,,a member of the Keep L.A. Housed coalition
"Sharon Sandow, a spokesperson for the L.A. Housing Department, told LAist last week the document was still a “draft report,” and they didn't have a specific date lined up for its release.",Named Organization Sources,L.A. Housing Department,,a spokesperson for the L.A. Housing Department
"Daniel Yukelson with the Apartment Association of Greater Los Angeles pointed to recent data from the National Apartment Association, a trade group for property owners, concluding that California landlords earn 7 cents of profit on average for every dollar of rent.",Named Person Sources,Daniel Yukelson,null,Daniel Yukelson with the Apartment Association of Greater Los Angeles
"“What [the report] is trying to do is make a PR effort to lay the groundwork to chip away at what little ability landlords have in L.A. to be able to raise rents and be able to keep up with their costs,” Yukelson said.",Named Person Sources,Daniel Yukelson,null,Daniel Yukelson with the Apartment Association of Greater Los Angeles
"He said the report takes a macroeconomic view of the city’s rental market, but fails to capture the unique struggles facing many small landlords.",Named Person Sources,Daniel Yukelson,null,Daniel Yukelson with the Apartment Association of Greater Los Angeles
"“Small landlords are able to maintain their profits and draw income above their expenses — they haven't been overly burdened by rent stabilization,” said Christina Boyar, a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition.",Named Person Sources,Christina Boyar,legal fellow,a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition
"“The report shows that rent costs exceeding what tenants can pay is a primary cause of homelessness,” Boyar said.",Named Person Sources,Christina Boyar,legal fellow,a legal fellow with Public Counsel and a member of the Keep L.A. Housed coalition
"Daniel Flaming, president of the Economic Roundtable and a co-author of the report, said he didn’t have a good answer for why the report was kept under wraps.",Named Person Sources,Daniel Flaming,president of the Economic Roundtable,president of the Economic Roundtable and a co-author of the report
"“I think when it's a politically contentious issue, there are attempts to manage the conversation,” Flaming said.",Named Person Sources,Daniel Flaming,president of the Economic Roundtable,president of the Economic Roundtable and a co-author of the report
"In an email reacting to the Economic Roundtable report, Soto-Martínez told LAist, “As we await the finalized version of this report, it’s heartening to see so much data supporting the policy changes that renters have been demanding — especially when it comes to preventing excessive rent increases that can devastate working families.”",Named Person Sources,Hugo Soto-Martinez,Councilmember,one of the council members who requested the report be commissioned
"Sharon Sandow, a spokesperson for the L.A. Housing Department, told LAist last week the document was still a “draft report,” and they didn't have a specific date lined up for its release.",Named Person Sources,Sharon Sandow,spokesperson for the L.A. Housing Department,a spokesperson for the L.A. Housing Department
The independent analysis found some of the city’s rules governing rent increases have favored landlords over tenants.,Document Sources,Economic Roundtable,,LAist obtained the report through a public records request.
The report makes some recommendations on how the city could change its formula for determining annual rent increase limits:,Document Sources,Economic Roundtable,,LAist obtained the report through a public records request.
The report notes that because L.A. has a 3% floor on annual increases — even in years when the consumer price index is lower — landlords have often been allowed to raise rents above inflation.,Document Sources,Economic Roundtable,,LAist obtained the report through a public records request.
Landlord advocates strongly disputed the report’s conclusions.,Unnamed Group of People,landlord advocates,,Landlord advocates strongly disputed the report’s conclusions.
Tenant advocates took a very different view of the report. They said it correctly identifies problems with L.A. rent control and validates their demands for stronger limits.,Unnamed Group of People,tenant advocates,,Tenant advocates took a very different view of the report.
Tenant advocates have called for a 3% ceiling on annual rent hikes and elimination of the 2% surcharge for landlords who provide gas and electricity.,Unnamed Group of People,tenant advocates,,Tenant advocates took a very different view of the report.
