SourcedStatement,SourceType,Name,Title,Justification
"When local police studied the nearly 29,000 calls they’ve received in the past three years, they discovered the 20 people most cited for problems accounted for 1,700 — or 6% — of all complaints.",Named Organization Sources,local police,,
"But when authorities identified the offenders to area social service agencies, both groups saw that many on the list faced no-trespass notices at the programs that could help them.",Named Organization Sources,authorities,,
"The answer: Police, as confirmed by a 16% rise in dispatch calls.",Named Organization Sources,Police,,
That’s why the state is helping local leaders study and share information in Brattleboro — as well as in Bennington and Springfield — so authorities and agencies can collaborate on how to address disorderly conduct among the most-cited offenders.,Named Organization Sources,the state,,
"According to police, the Brattleboro individual most reported (identified only as someone cited in 63 calls for the first half of this year) was acting criminally just 14% of the time.",Named Organization Sources,police,,
"Authorities believe social services could help with other behavioral issues, although they note the person faces no-trespass notices at 19 locations.",Named Organization Sources,Authorities,,
"Social service agencies, for their part, are feeling pulled in different directions.",Named Organization Sources,Social service agencies,,
"Groundworks Collaborative, for example, helps local people without permanent housing (its outreach team reports contact with 159 such individuals so far this year).",Named Organization Sources,Groundworks Collaborative,,
"But the nonprofit had to strengthen its rules against threatening behavior after the 2023 killing of its shelter coordinator, allegedly by a client who is now in prison and awaiting trial on charges of first-degree murder.",Named Organization Sources,the nonprofit,,
Authorities have met with local agencies to confidentially share the names of the most-cited offenders.,Named Organization Sources,Authorities,,
"State consultants have urged authorities and agencies to expand their efforts regionally, noting that one of Brattleboro’s most cited individuals also appears on police call logs in Bennington and Springfield.",Named Organization Sources,State consultants,,
"“Jaws dropped,” Jim Baker, a consultant for a state public safety enhancement initiative, recounted at a recent public meeting.",Named Person Sources,Jim Baker,consultant,a consultant for a state public safety enhancement initiative
"“The providers recognized those folks and came to the realization that if they’re falling through the cracks in their system, who ends up dealing with them?”",Named Person Sources,Jim Baker,consultant,a consultant for a state public safety enhancement initiative
"“The 20 people that are consuming a lot of resources clearly need some, but they’re not getting the right ones,” Brattleboro Assistant Police Chief Jeremy Evans recently told the town selectboard.",Named Person Sources,Jeremy Evans,Assistant Police Chief,Brattleboro Assistant Police Chief
“We’re trying to get everything we have out to the service providers so that they can use that data to inform their decision-making.”,Named Person Sources,Jeremy Evans,,Brattleboro Assistant Police Chief
"“Compared to communities your size, you are consistently higher,” Baker, former commander of the Vermont State Police and one-time Rutland City police chief, recently told local leaders of their figures.",Named Person Sources,Baker,,former commander of the Vermont State Police and one-time Rutland City police chief
"“The disorder we are witnessing, especially in our downtown area, has many causes and impacts,” Evans wrote the selectboard in a recent memorandum.",Named Person Sources,Evans,,Brattleboro Assistant Police Chief
“Not all of these are criminal in nature.”,Named Person Sources,Evans,,Brattleboro Assistant Police Chief
"In the case of people receiving no-trespass notices, offenders are barred from locations if their actions “significantly disrupt the ability to provide services,” the assistant police chief said in an interview.",Named Person Sources,the assistant police chief,,
"“You have a lot of people looking for help,” Evans said, “but there’s a small percentage that, for whatever reason, are unable or unwilling to accept it.”",Named Person Sources,Evans,,Brattleboro Assistant Police Chief
"“Unfortunately, many of those are providers,” Evans said, “which creates a huge, huge problem.”",Named Person Sources,Evans,,Brattleboro Assistant Police Chief
"“This is something that we see in a lot of different jurisdictions,” Robin Joy, the Crime Research Group’s statistical director, told local leaders at another meeting.",Named Person Sources,Robin Joy,,the Crime Research Group’s statistical director
"According to Joy, Brattleboro police calls vary from assaults at 1% to disorderly conduct at 65%.",Named Person Sources,Joy,,the Crime Research Group’s statistical director
"“This is where the community service providers can really help,” she said of the latter percentage.",Named Person Sources,she,,the Crime Research Group’s statistical director
"But that’s challenging when “the No. 1 thing” the top 20 people are arrested for is trespassing at those places, the researcher added.",Named Person Sources,the researcher,,the Crime Research Group’s statistical director
"“We need to consider our own boundaries around increasing safety and reducing risks,” Groundworks executive director Libby Bennett said upon this April’s first anniversary of the death.",Named Person Sources,Libby Bennett,,Groundworks executive director
“We all understand we’re upholding these out of respect for each other.”,Named Person Sources,Libby Bennett,,Groundworks executive director
"“All of us area agencies, we are doing everything humanly possible that we can do,” said Christine Allen, executive director of Turning Point of Windham County.",Named Person Sources,Christine Allen,,executive director of Turning Point of Windham County
"“We are so straight out, working our tails off — and we can’t do this without the police.”",Named Person Sources,Christine Allen,,executive director of Turning Point of Windham County
"“It was an epiphany,” Baker said.",Named Person Sources,Baker,,a consultant for a state public safety enhancement initiative
"“When you have 20 people who account for some 5% of calls for service and they’re getting passed from one agency to another, there’s not a level of accountability that needs to happen.”",Named Person Sources,Baker,,a consultant for a state public safety enhancement initiative
Daniel Quipp attended the providers’ meeting as chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action.,Named Person Sources,Daniel Quipp,,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action
"“We were looking at real information that made us have some quite difficult conversations,” Quipp said following the session.",Named Person Sources,Quipp,,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action
"“Here’s the name of this person who has trespassed at this place, this place, this place, this place, this place and we know that they need these kinds of services.",Named Person Sources,Quipp,,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action
"What can we do as a group of people who are working together to try to make a better, safer Brattleboro to actually meet that person’s needs?”",Named Person Sources,Quipp,,chair of the selectboard and a staff member of the antipoverty agency Southeastern Vermont Community Action
"Sharing information, Baker said, “is the first step in holding each other accountable for better outcomes.”",Named Person Sources,Baker,,a consultant for a state public safety enhancement initiative
"To that end, the Brattleboro Police Department is creating a Hotspot Evaluation and Analysis Team to extend “in-depth data related to trends, problem locations, safety concerns, and high-volume users of town services,” Evans said in his memo.",Named Person Sources,Evans,,Brattleboro Assistant Police Chief
“It is our hope that this data will provide organizations with more knowledge about where and when their services might be most effectively directed and promote discussion on how to best address concerns.”,Named Person Sources,Evans,,Brattleboro Assistant Police Chief
"“This points to a need,” Joy said, “to collaborate beyond your borders.”",Named Person Sources,Joy,,the Crime Research Group’s statistical director
"Most calls about the top 20 didn’t involve criminal behavior, but instead disorderly conduct, disputes and disturbances often linked to alcohol and drug use or mental health issues, municipal statistics show.",Document Sources,,,municipal statistics show
"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter (authorities received 181 calls there in the first half of this year), as well as to such downtown locations as the Whetstone path park (112 calls so far in 2024), the Groundworks Collaborative shelter (93) and Transportation Center parking garage (57).",Document Sources,Vermont nonprofit Crime Research Group,,A study by the Vermont nonprofit Crime Research Group shows
