SourcedStatement,SourceType,Name,Title,Justification
The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols.,Named Organization Sources,The Poor People’s Campaign,,
"The Poor People’s Campaign, under the leadership of Barber and Rev. Dr. Liz Theoharis, announced their plans for a mass mobilization of 15 million poor and low-wealth voters nationwide ahead of November’s election.",Named Organization Sources,The Poor People’s Campaign,,under the leadership of Barber and Rev. Dr. Liz Theoharis
"The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols to launch “the campaign and highlight the policies being promulgated in state houses across the country that are hurting the poor or distracting from addressing the real issues facing poor and low-wealth people,” according to the PPC.",Named Organization Sources,PPC,,
"“In 2024, the election is going to be about mobilization,” Lake told reporters.",Named Person Sources,Celinda Lake,President,respected pollster; President of Lake Research Partners
“There is no question that the biggest contest between the two parties is going to be who can get their voters out to vote.,Named Person Sources,Celinda Lake,President,respected pollster; President of Lake Research Partners
"Democrats have an enthusiasm gap today, and the progressive alliance and Democrats have fissures within their constituency that makes getting out the vote even more important.",Named Person Sources,Celinda Lake,President,respected pollster; President of Lake Research Partners
"The biggest bloc of potential voters by far is low-income, low-wage voters.",Named Person Sources,Celinda Lake,President,respected pollster; President of Lake Research Partners
Increased participation even by miniscule percentages could be game changers.,Named Person Sources,Celinda Lake,President,respected pollster; President of Lake Research Partners
It is a massive voter engagement that is being started here today.”,Named Person Sources,Celinda Lake,President,respected pollster; President of Lake Research Partners
"“For far too long extremists have blamed poor people and low wage people for their plight while moderates too often have ignored poor people, appealing instead to the so-called middle class while the poor and low wage people have become nearly half of this country,” Barber told reporters.",Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
“Poor and low wage people have the power to determine and decide the 2024 elections and elections beyond.,Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
In the 2016 election there were 34 million poor and low wealth people eligible to vote but didn’t.,Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
These voters made up more than a quarter of the electorate.”,Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
"Barber continued: “Poverty is now the fourth leading crisis of death in America, a moral crisis in America taking the lives of 800 people a day and this is before and after COVID…These are the issues that must be at the center of the narrative of a democracy in our country.",Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
If we are serious about saving the democracy it can’t be some philosophical term.,Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
Saving the democracy must be a Third Reconstruction where people are paid a living wage—where people have health care—where public education is fully funded and where voting rights are protected and expanded.”,Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
Barber called out by name eight moderate U.S. Senate Democrats that in 2021 joined with the Republicans to defeat raising the minimum wage to $1 from the $7.25 where it has been stuck since 2009 when Obama was president.,Named Person Sources,Rev. Dr. William Barber,,under the leadership of Barber and Rev. Dr. Liz Theoharis
"“We are mobilizing, organizing, registering and educating people for a movement that votes, votes for healthcare and debt cancellation, votes for living wages and string anti-poverty programs and votes for fair taxes and the demilitarizing of our communities and world,” said Rev. Dr. Liz Theoharis who noted that since the last presidential election close to 1,000 voter suppression bills have been introduced “that impacts poor and low income people the most.”",Named Person Sources,Rev. Dr. Liz Theoharis,,under the leadership of Barber and Rev. Dr. Liz Theoharis
"""I work for MassHealth as a Personal Care Attendant, helping to take care of people with disabilities and who are sick and need help with their daily activities.",Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
"But I do not have health insurance myself,” Guzman told reporters.",Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
“I am an essential worker living paycheck-to-paycheck and I have to make decisions every day.,Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
Do I put gas in my car or do I pay my bills?,Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
"Or do I put food on my table?,” said Janice Guzman, an organizer with the.",Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
“This is why I am organizing with the Massachusetts Poor People's Campaign.,Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
"We have got to get our power as people, get back the mic, raise our voices and register voters.",Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
"Forward together!""",Named Person Sources,Janice Guzman,organizer,an organizer with the Massachusetts Poor People's Campaign and SEIU 1199
