SourcedStatement,SourceType,Name,Title,Justification
"“He’s a very smart kid,” Campa said.",Named Person Sources,Juanita Campa,,
“He listens.”,Named Person Sources,Juanita Campa,,
"In the Alum Rock district, Superintendent Imee Almazan said the COVID-19 pandemic exacerbated multiple economic issues that were out of the parents’ and the school district’s control, leading to the increase in homeless youth.",Named Person Sources,Imee Almazan,,
"“It goes back to economic hardships, loss of jobs, displacement.",Named Person Sources,Imee Almazan,,
"There’s just a number of reasons why our families are growing in our (homeless youth) population,” Almazan said.",Named Person Sources,Imee Almazan,,
“And some of our families haven’t bounced back from that yet.”,Named Person Sources,Imee Almazan,,
"Maryam Adalat, director of student services at East Side Union High School District, said many families have lost stable housing, their jobs or loved ones who were the family’s main provider since the COVID-19 pandemic.",Named Person Sources,Maryam Adalat,,
Adalat said district staff have seen many families facing unstable housing and multiple families living in a household.,Named Person Sources,Maryam Adalat,,
“We have students who are living in shelters.,Named Person Sources,Maryam Adalat,,
"We actually have foster youth that are unhoused as well,” she said.",Named Person Sources,Maryam Adalat,,
"Annya Artigas, the director of Social Emotional Learning at the Alum Rock district, said homelessness can affect students inside and outside the classroom.",Named Person Sources,Annya Artigas,,
“There are a number of kids that we knew who were homeless who would show up late.,Named Person Sources,Annya Artigas,,
"Before we brought them to the classroom, we bring them to the cafeteria and grab them something to eat and grab them some milk so that they can have something in their stomach before they went into the classroom,” she said.",Named Person Sources,Annya Artigas,,
"As a result of these different stressors, homeless children may also struggle to stay mentally present in school, Artigas said.",Named Person Sources,Annya Artigas,,
"“Whenever a child presents inside a classroom, all of those things come with that child.",Named Person Sources,Annya Artigas,,
"And all of those things are impacting their ability to engage, their ability to receive information and process it and retain it,” Artigas said.",Named Person Sources,Annya Artigas,,
"Maureen Smith, a professor who teaches childhood adolescent development at San Jose State University, said children experiencing homelessness without a guardian are also less likely to be enrolled in school.",Named Person Sources,Maureen Smith,,
She said some children are forced to leave their homes because of domestic violence or because of their gender or sexual identity.,Named Person Sources,Maureen Smith,,
"“They leave the home really traumatized to begin with, and then they end up on the streets,” Smith said.",Named Person Sources,Maureen Smith,,
"Back on the East Side, Campa said Sergio will be able to go to school soon, but she doesn’t know when.",Named Person Sources,Juanita Campa,,
She’s waited for more than two months to get a phone call back from the McKinley-Franklin and San Jose Unified school districts.,Named Person Sources,Juanita Campa,,
She started filing Sergio’s paperwork over a year ago.,Named Person Sources,Juanita Campa,,
"“I felt like I wasn’t doing my job as a mom because we’re homeless,” she said",Named Person Sources,Juanita Campa,,
“We were working but it wasn’t enough.,Named Person Sources,Juanita Campa,,
... I don’t want to be back here.”,Named Person Sources,Juanita Campa,,
"Since 2020, the number of homeless students in Santa Clara County has almost doubled, according to the California Department of Education.",Document Sources,California Department of Education,,according to the California Department of Education
"About 1,200 students in the East Side Union High School District and Alum Rock Union School District were reported to be homeless in 2024 — three times the number of homeless students in 2020.",Document Sources,,,
"According to the state, 10% to 12% of those students were living in temporary shelters that year.",Document Sources,,,
"Out of the 1,974 homeless students enrolled at East Side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.",Document Sources,state education department,,
"That same year, a majority of homeless students in the district were unable to pass the Smarter Balanced Summative Assessments, standardized tests for mathematics and language arts.",Document Sources,,,
"Around 78% of homeless students were unable to meet the standards for mathematics, while 51% were unable to meet the standard for language arts.",Document Sources,,,
