SourcedStatement,SourceType,Name,Title,Justification
"Bob Unanue, CEO of Goya Foods, even mocked her name by calling her ‘Que-mala,’ which means ‘so bad’” in Spanish.",Named Organization Sources,Goya Foods,,
"However, during a 2020 interview with Trevor Noah on The Daily Show, she addressed the issue with grace and insight.",Named Organization Sources,The Daily Show,,
"Harris, as the first female Vice President of the United States, carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Her name means “lotus flower,” and is pronounced “Comma-la.”",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"So, when so-called leaders can’t be bothered to say her name correctly, it signals a disregard for the significance of that heritage, as well as a lack of commitment to understanding and representing all Americans.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
This issue of mispronouncing her name is not an isolated one.,Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"During the 2024 Republican National Convention, nearly half of the speakers who mentioned Harris’s first name mispronounced it.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Former President Donald Trump, tech mogul Elon Musk, and several Republican leaders, including members of Congress and governors, repeatedly mispronounce her name.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Bob Unanue, CEO of Goya Foods, even mocked her name by calling her ‘Que-mala,’ which means ‘so bad’” in Spanish.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"If Harris’s political opponents can’t take the time or make the effort to learn the correct pronunciation of her first name, it raises doubts about their ability to tackle more intricate and critical issues that demand attention to detail, empathy, and cultural awareness.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"In a nation as diverse as the United States, repeatedly mispronouncing the name of one of its highest-ranking officials undermines the core values of inclusivity and respect that are foundational to effective governance.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Mispronouncing a person’s name is often an attempt to characterize them as an outsider or “other,” a tactic that Trump frequently uses to diminish the individual’s identity and create a sense of alienation.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
Trump’s repeated mispronunciation of Harris’s name reflects a growing sense of desperation.,Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Since becoming a candidate for President, Harris has refrained from responding directly to Trump and others who mispronounce her name.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"However, during a 2020 interview with Trevor Noah on The Daily Show, she addressed the issue with grace and insight.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Harris explained that a name is a precious gift from one’s family, rooted in tradition, love, and hope.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"She emphasized that respecting the significance of names honors those values, while mocking or mispronouncing them is childish and reflects a lack of maturity and respect.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"“That the highest elected leaders should conduct themselves like they did when they were children on the playground, it speaks poorly of their appreciation for the responsibility of the role that they have,” Harris said to Noah.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
“And I think it’s a reflection of their values and their maturity.”,Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Harris added, “I don’t pay attention to the name-calling, Trevor.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
There’s some of us who have lived a lifetime of being called names.,Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"It is predictable, it is childish, and it will not distract me.”",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Her response underscores the importance of respecting the cultural significance behind names, especially for those in leadership positions.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"By addressing the topic this way, Harris highlighted her commitment to dignity and respect, even in the face of those who choose to behave otherwise.",Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
Mispronouncing Kamala Harris’s first name isn’t just a harmless mistake; it’s a reflection of a deeper issue that goes beyond simply placing emphasis on the wrong syllable.,Named Person Sources,Kamala Harris,Vice President of the United States,"as the first female Vice President of the United States; carries a first name that is rooted in her Indian cultural heritage passed down from her mother, Shyamala Gopalan"
"Former President Donald Trump, tech mogul Elon Musk, and several Republican leaders, including members of Congress and governors, repeatedly mispronounce her name.",Named Person Sources,Donald Trump,Former President,
"Mispronouncing a person’s name is often an attempt to characterize them as an outsider or “other,” a tactic that Trump frequently uses to diminish the individual’s identity and create a sense of alienation.",Named Person Sources,Donald Trump,Former President,
"By refusing to correctly say a person’s name, Trump and others are showing a lack of respect for cultural differences, reinforcing the perception that they are arrogant, dismissive, and disconnected from the diverse society they aim to lead.",Named Person Sources,Donald Trump,Former President,
Trump’s repeated mispronunciation of Harris’s name reflects a growing sense of desperation.,Named Person Sources,Donald Trump,Former President,
"As his poll numbers drop, his reliance on disrespectful tactics like this highlights an inability to focus on substantive issues.",Named Person Sources,Donald Trump,Former President,
"Instead of engaging with the real concerns of the American people, Trump’s behavior deviates from meaningful dialogue, revealing poor judgment that is unbefitting of a presidential candidate.",Named Person Sources,Donald Trump,Former President,
"Since becoming a candidate for President, Harris has refrained from responding directly to Trump and others who mispronounce her name.",Named Person Sources,Donald Trump,Former President,
"Former President Donald Trump, tech mogul Elon Musk, and several Republican leaders, including members of Congress and governors, repeatedly mispronounce her name.",Named Person Sources,Elon Musk,tech mogul,
"Bob Unanue, CEO of Goya Foods, even mocked her name by calling her ‘Que-mala,’ which means ‘so bad’” in Spanish.",Named Person Sources,Bob Unanue,CEO,of Goya Foods
"However, during a 2020 interview with Trevor Noah on The Daily Show, she addressed the issue with grace and insight.",Named Person Sources,Trevor Noah,,on The Daily Show
