SourcedStatement,SourceType,Name,Title,Justification
"In Kansas, lawyers for the American Civil Liberties Union have drafted a letter reminding election workers that a gender marker on a person’s identification does not need to match or correspond to a voter’s gender expression.",Named Organization Sources,American Civil Liberties Union,,lawyers for the American Civil Liberties Union
Staff for the organization have also held clinics elsewhere to prepare trans Americans for the identification requirements they will have to navigate.,Named Organization Sources,American Civil Liberties Union,,Staff for the organization
"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are.",Named Organization Sources,VoteRiders,,the nonprofit VoteRiders
"Equality Florida, the state’s leading LGBTQ+ advocacy group, is holding “know your rights” trainings in the wake of new regulations barring many transgender voters from obtaining photo identification that reflects their gender.",Named Organization Sources,Equality Florida,,the state’s leading LGBTQ+ advocacy group
"Last year, Tennessee Gov. Bill Lee, a Republican, signed a bill into law that defines sex as “determined by anatomy and genetics existing at the time of birth.” The state’s Department of Safety and Homeland Security then created a rule banning transgender people from changing gender markers on their driver’s licenses.",Named Organization Sources,Tennessee Department of Safety and Homeland Security,,the state’s Department of Safety and Homeland Security
"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure.",Named Organization Sources,ACLU,,The ACLU
"In January, a Florida agency announced it would no longer update a trans person’s driver’s license with their correct gender identity.",Named Organization Sources,Florida agency,,a Florida agency
"In August, at least one Texas agency, under directive from the state attorney general’s office, implemented a similar policy.",Named Organization Sources,Texas agency,,"at least one Texas agency, under directive from the state attorney general’s office"
"In Florida, which has emerged as a national epicenter of policies targeting LGBTQ+ people in recent years, the state’s Department of Highway Safety and Motor Vehicles issued a new regulation barring residents from updating their gender identity on their drivers’ license.",Named Organization Sources,Florida Department of Highway Safety and Motor Vehicles,,the state’s Department of Highway Safety and Motor Vehicles
"The ACLU, which is tracking some of these laws and rules, has tried to prepare election workers on how to process trans voters who come into their polling sites.",Named Organization Sources,ACLU,,"The ACLU, which is tracking some of these laws and rules"
VoteRiders is conducting year-round voter education.,Named Organization Sources,VoteRiders,,VoteRiders
"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification.",Named Person Sources,Lauren Kunis,CEO and executive director,"CEO and executive director of VoteRiders, which helps voters obtain identification"
"“There is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.”",Named Person Sources,Lauren Kunis,CEO and executive director,"CEO and executive director of VoteRiders, which helps voters obtain identification"
