SourcedStatement,SourceType,Name,Title,Justification
"Now, officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",Named Organization Sources,Scranton Army Ammunition Plant,,officials at the plant
"The Tobyhanna Army Depot, which specializes in logistics support and radar equipment for foreign allies such as Ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",Named Organization Sources,Tobyhanna Army Depot,,which specializes in logistics support and radar equipment for foreign allies such as Ukraine
"Officials at Tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern Pennsylvania, which is around $58,000 in 2021.",Named Organization Sources,Tobyhanna Army Depot,,Officials at Tobyhanna
"“We’re all about quality jobs, and that’s a quality organization,” Bob Durkin, the president and chief executive officer of the Scranton Chamber of Commerce said.",Named Person Sources,Bob Durkin,president and chief executive officer,the president and chief executive officer of the Scranton Chamber of Commerce
“So the infusion of additional funding to support is important to us.”,Named Person Sources,Bob Durkin,president and chief executive officer,the president and chief executive officer of the Scranton Chamber of Commerce
"Congressman Matt Cartwright, who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania pointed to a $277 million Raytheon contract to illustrate this point.",Named Person Sources,Matt Cartwright,Congressman,who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania
"“It’s not $277 million that stays here. But, you know, it’s a good chunk of it,” Cartwright said.",Named Person Sources,Matt Cartwright,Congressman,who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania
“And it’s important that we keep that work coming.”,Named Person Sources,Matt Cartwright,Congressman,who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania
"“I don’t really think that people dwell or concentrate on anything that’s going on outside of their sphere of influence,” Rich Hansen, the Commander’s Representative at the Scranton Army Ammunition Plant, said.",Named Person Sources,Rich Hansen,Commander’s Representative,the Commander’s Representative at the Scranton Army Ammunition Plant
we’re kind of busy concentrating on what’s going on in Scranton.”,Named Person Sources,Rich Hansen,Commander’s Representative,the Commander’s Representative at the Scranton Army Ammunition Plant
"“We had a job fair in the middle of a heat wave and there was still a line going out of the door,” Danielle Weinschenk, the lead Public Affairs Specialist at the Tobyhanna Army Depot said.",Named Person Sources,Danielle Weinschenk,lead Public Affairs Specialist,the lead Public Affairs Specialist at the Tobyhanna Army Depot
"“We had another one when it was pouring rain, and the same thing happened.”",Named Person Sources,Danielle Weinschenk,lead Public Affairs Specialist,the lead Public Affairs Specialist at the Tobyhanna Army Depot
"“With the Ukraine support, you know, one day I was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die,” said Jim Jarick, a senior technology center engineer at the Tobyhanna Army Depot.",Named Person Sources,Jim Jarick,senior technology center engineer,a senior technology center engineer at the Tobyhanna Army Depot
"“If we aren’t doing our job correctly, people could die tomorrow. And that just put this whole thing in perspective for me.”",Named Person Sources,Jim Jarick,senior technology center engineer,a senior technology center engineer at the Tobyhanna Army Depot
"Mark Cancian, a senior advisor at the Center for Strategic and International Studies, told Morning Edition that Ukraine receives around 90,000 artillery shells a month, but that’s still not enough to keep up with Russia’s firing power.",Named Person Sources,Mark Cancian,senior advisor,a senior advisor at the Center for Strategic and International Studies
"“At the height of last year’s counteroffensive, the Ukrainians were firing about 6,000 a day, ” Cancian said.",Named Person Sources,Mark Cancian,senior advisor,a senior advisor at the Center for Strategic and International Studies
"“The Russians are [firing] probably about 10,000 a day.”",Named Person Sources,Mark Cancian,senior advisor,a senior advisor at the Center for Strategic and International Studies
"Col. Olksandr Popov, the commander of a Ukrainian artillery unit, estimates that they need about 30 to 40 shells to take out one Russian target, which is why these artillery shells are at the top of Ukraine’s list of needs.",Named Person Sources,Col. Olksandr Popov,commander,the commander of a Ukrainian artillery unit
"“Our first task is to save our people,” Popov said.",Named Person Sources,Col. Olksandr Popov,commander,the commander of a Ukrainian artillery unit
"“Without artillery, we cannot do this.”",Named Person Sources,Col. Olksandr Popov,commander,the commander of a Ukrainian artillery unit
