SourcedStatement,SourceType,Name,Title,Justification
"According to Mayor London Breed, the intention is to clean up sidewalks and force unhoused people into the city’s labyrinthine network of shelter and supportive housing programs.",Named Organization Sources,Mayor London Breed,,null
"A federal survey released in May counted more than 8,000 unhoused people in the city, which has fewer than 4,000 shelter beds to offer.",Named Organization Sources,null,,null
Gordon said claims for lost property can be filed with the City Attorney's office.,Named Organization Sources,City Attorney's office,,null
Mayor Breed's office did not respond to requests for comment.,Named Organization Sources,Mayor Breed's office,,null
"In order to bring public attention to the moral question of sweeps, the Coalition on Homelessness and other unhoused advocates planned to crash an encampment sweep in SoMa last Thursday, which had been scheduled for 12:30 p.m.",Named Organization Sources,Coalition on Homelessness,,null
"The group planned live performances, speeches, and outreach, to take place at the same time as SFPD and Department of Public Works enforcement.",Named Organization Sources,SFPD and Department of Public Works,,null
There were 178 people on the Department of Homelessness and Supportive Housing’s online waitlist for shelter on Monday afternoon.,Named Organization Sources,Department of Homelessness and Supportive Housing,,null
"On a grey Thursday morning last week, Antonio Robinson watched as a coterie of cops, workers from the city Department of Public Works, and a pair of outreach specialists descended on his tent.",Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"Robinson’s last encampment was swept about a month ago, and “nearly everything” was taken, including his state ID card, he said.",Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"Despite Public Works’ policy and procedure for documenting, bagging, and tagging most belongings, Robinson said he was unable to find any of his property at the city’s mandated storage facility at 2323 Cesar Chavez St.",Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
Robinson did not accept it.,Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
“All they do is tell me to go back to the Hunters Point Navigation Center.,Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
And I don’t want to do that.,Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"I had bad experiences,” he said.",Named Person Sources,Antonio Robinson,null,"The 38-year-old had chosen to set up camp near Palou Ave. and Griffith St. in Hunters Point, on a dead-end road surrounded by industrial buildings."
"Joey O’Brien, 46, tried to explain to police officers that he was camping on the sidewalk in Hunters Point while investigating a homicide that occurred while he was in jail.",Named Person Sources,Joey O’Brien,null,46
"“I don’t understand,” O’Brien kept repeating.",Named Person Sources,Joey O’Brien,null,46
"O’Brien was polite and contrite, admitting that he had broken several windows in the past while suffering a mental breakdown.",Named Person Sources,Joey O’Brien,null,46
"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Named Person Sources,Rachel Gordon,spokesperson,Public Works spokesperson
Gordon said claims for lost property can be filed with the City Attorney's office.,Named Person Sources,Rachel Gordon,spokesperson,Public Works spokesperson
"Instead, the city swooped down on the encampments at Sixth and Jessie streets earlier than scheduled, said Julian Highsmith, communications and policy director for the Coalition on Homelessness.",Named Person Sources,Julian Highsmith,communications and policy director,communications and policy director for the Coalition on Homelessness
"“Typically, with city sweeps, they give 72 hours of notice with location and time, and we were following that, but they didn’t follow that usual rule,” Highsmith said.",Named Person Sources,Julian Highsmith,communications and policy director,communications and policy director for the Coalition on Homelessness
Highsmith told Gazetteer he believes the city may have gotten wind of the group’s planned sweep disruption and undercut it in order to prevent unhoused people from organizing with their advocates during an enforcement.,Named Person Sources,Julian Highsmith,communications and policy director,communications and policy director for the Coalition on Homelessness
“I personally think it’s a little suspicious to do the sweep earlier.,Named Person Sources,Julian Highsmith,communications and policy director,communications and policy director for the Coalition on Homelessness
"It doesn’t seem like the city wants attention on the encampment sweeps, and I don’t think they want people to see what happens during that process,” he said.",Named Person Sources,Julian Highsmith,communications and policy director,communications and policy director for the Coalition on Homelessness
"When asked where he would move next, he shrugged and noted in his characteristic whisper that he was staying in the neighborhood.",Named Person Sources,Robinson,null,null
"“It’s quiet here,” he said.",Named Person Sources,Robinson,null,null
"Between December 2022 and June of this year, a federal injunction prevented the city from penalizing people for sleeping on public property without an alternative offer for shelter.",Document Sources,null,,null
"But in June, the Supreme Court green-lit such penalties, prompting Gov. Gavin Newsom to order California city officials to “move urgently” to clear illegal encampments around the state.",Document Sources,null,,null
"According to Public Works policy, staff are supposed to provide the resident of an encampment a “reasonable amount of time (approximately 30 minutes)” to sort through and collect their belongings before the camp is torn down.",Document Sources,Public Works,,null
"Despite promises from law enforcement and city officials that this property will be preserved, there is plenty of evidence that the city’s hasty process of clearing encampments has left people without immediate access to essential supplies and equipment; as a recent batch of public records secured by City Hall watchdog Hazel Williams shows, Public Works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on Cesar Chavez St.",Document Sources,null,,a recent batch of public records secured by City Hall watchdog Hazel Williams
"In a response to Gazetteer's questions about potential breaches in protocol, Public Works spokesperson Rachel Gordon only noted that ""the policy clearly spells out how soiled items can be handled and our crews follow the policy and consistently apply its terms.""",Document Sources,null,,null
"As it turned out, O’Brien had a warrant for failing to appear for a previous court date.",Unnamed Group of People,null,,null
"More than anything, however, he begged for officers to bring over his two neat backpacks, which had his best clothes, documents, and “bits of silver.”",Unnamed Group of People,officers,,null
"Public Works employees began examining and collecting O’Brien’s possessions as soon as he was detained, without giving him the sorting time required by policy.",Unnamed Group of People,Public Works employees,,null
"Eventually, an officer brought a black backpack to O’Brien, but gestured to the truck, now indiscriminately piled high with his property.",Unnamed Group of People,officer,,null
"“The other stuff is under all that over there,” the officer said with a shrug.",Unnamed Group of People,officer,,null
“You’re going to have to pick it up later.”,Unnamed Group of People,officer,,null
"Despite promises from law enforcement and city officials that this property will be preserved, there is plenty of evidence that the city’s hasty process of clearing encampments has left people without immediate access to essential supplies and equipment; as a recent batch of public records secured by City Hall watchdog Hazel Williams shows, Public Works has bagged medications, wheelchairs, and even a mobility walker from unhoused people, taking them to the city’s storage facility on Cesar Chavez St.",Unnamed Group of People,law enforcement and city officials,,null
"Many unhoused people, including Robinson, say it can be challenging to identify and retrieve their belongings at the facility.",Unnamed Group of People,unhoused people,,null
"When they succeed, they often find important pieces missing from their stash — a problem that has persisted over years of sweeps.",Unnamed Group of People,unhoused people,,null
"Instead, a small group of protesters regrouped at City Hall for a series of chants and short speeches, holding a symbolic police citation for Breed that accused her of violating human rights.",Unnamed Group of People,protesters,,null
"Dozens of people lined the sidewalks that had been swept just hours prior, fussing with their belongings, setting up new tents, and discreetly selling wares to one another.",Unnamed Group of People,people,,null
