SourcedStatement,SourceType,Name,Title,Justification
"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman.",Named Organization Sources,Microsoft,,Microsoft
"After Mr. Musk left in 2018, they created a for-profit subsidiary that began raising billions of dollars from investors, including $1 billion from Microsoft.",Named Organization Sources,Microsoft,,Microsoft
"They said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not OpenAI investors,” the company said on its website.",Named Organization Sources,OpenAI,,the company
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Named Organization Sources,Anthropic,,a company that has become OpenAI’s biggest rival
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Organization Sources,Federal Trade Commission,,the Federal Trade Commission
Mr. Sutskever’s frustration with Mr. Altman echoed what had happened in 2021 when another senior A.I. scientist left OpenAI to form Anthropic.,Named Organization Sources,Anthropic,,Anthropic
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Organization Sources,Anthropic,,Anthropic
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Organization Sources,Anthropic,,Anthropic
The confrontation between Mr. Sutskever and Ms. Brockman was reported earlier by The Wall Street Journal.,Named Organization Sources,The Wall Street Journal,,The Wall Street Journal
Sam Altman called an OpenAI board member’s research paper a danger to the company weeks before he was ousted as its chief executive.,Named Person Sources,Sam Altman,chief executive,Sam Altman
"Before Sam Altman was ousted from OpenAI last week, he and the company’s board of directors had been bickering for more than a year.",Named Person Sources,Sam Altman,,Sam Altman
"At one point, Mr. Altman, the chief executive, made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company.",Named Person Sources,Sam Altman,chief executive,"Mr. Altman, the chief executive"
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Named Person Sources,Ilya Sutskever,,"Another member, Ilya Sutskever"
And some board members worried that Mr. Altman was too focused on expansion while they wanted to balance that growth with A.I. safety.,Named Person Sources,Sam Altman,,Mr. Altman
"The news that he was being pushed out came in a videoconference on Friday afternoon, when Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement.",Named Person Sources,Ilya Sutskever,,"Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years"
Those tensions seemingly came to an end late Tuesday when Mr. Altman was reinstated as chief executive.,Named Person Sources,Sam Altman,chief executive,Mr. Altman
"Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary.",Named Person Sources,Ilya Sutskever,,Mr. Sutskever and others critical of Mr. Altman
"Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary.",Named Person Sources,Bret Taylor,early Facebook officer and former co-chief executive of Salesforce,"whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce"
"Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary.",Named Person Sources,Larry Summers,former Treasury Department secretary,"whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary"
"The only holdover is Adam D’Angelo, chief executive of the question-and-answer site, Quora.",Named Person Sources,Adam D’Angelo,"chief executive of the question-and-answer site, Quora","The only holdover is Adam D’Angelo, chief executive of the question-and-answer site, Quora"
"Before Mr. Altman’s return, the company’s continued existence was in doubt.",Named Person Sources,Sam Altman,,Mr. Altman
"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman.",Named Person Sources,Sam Altman,,Mr. Altman
"Nearly all of OpenAI’s 800 employees had threatened to follow Mr. Altman to Microsoft, which asked him to lead an A.I. lab with Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman.",Named Person Sources,Greg Brockman,OpenAI’s president and board chairman,"Greg Brockman, who quit his roles as OpenAI’s president and board chairman in solidarity with Mr. Altman"
The board had told Mr. Brockman that he would no longer be OpenAI’s chairman but invited him to stay on at the company — though he was not invited to the meeting where the decision was made to push him off the board and Mr. Altman out of the company.,Named Person Sources,Greg Brockman,OpenAI’s chairman,Mr. Brockman
The board had told Mr. Brockman that he would no longer be OpenAI’s chairman but invited him to stay on at the company — though he was not invited to the meeting where the decision was made to push him off the board and Mr. Altman out of the company.,Named Person Sources,Sam Altman,,Mr. Altman
"In 2015, Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity.",Named Person Sources,Sam Altman,,Mr. Altman
"In 2015, Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity.",Named Person Sources,Elon Musk,,Elon Musk
"In 2015, Mr. Altman teamed with Elon Musk and others, including Mr. Sutskever, to create a nonprofit to build A.I. that was safe and beneficial to humanity.",Named Person Sources,Ilya Sutskever,,Mr. Sutskever
"After Mr. Musk left in 2018, they created a for-profit subsidiary that began raising billions of dollars from investors, including $1 billion from Microsoft.",Named Person Sources,Elon Musk,,Mr. Musk
"Among the tensions leading up to Mr. Altman’s ouster and quick return involved his conflict with Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology.",Named Person Sources,Sam Altman,,Mr. Altman
"Among the tensions leading up to Mr. Altman’s ouster and quick return involved his conflict with Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology.",Named Person Sources,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,"Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology"
"A few weeks before Mr. Altman’s firing, he met with Ms. Toner to discuss a paper she had co-written for the Georgetown center.",Named Person Sources,Sam Altman,,Mr. Altman
"A few weeks before Mr. Altman’s firing, he met with Ms. Toner to discuss a paper she had co-written for the Georgetown center.",Named Person Sources,Helen Toner,,Ms. Toner
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Named Person Sources,Sam Altman,,Mr. Altman
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person Sources,Sam Altman,,Mr. Altman
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person Sources,Helen Toner,,Ms. Toner
Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person Sources,Helen Toner,,Ms. Toner
But Mr. Altman disagreed.,Named Person Sources,Sam Altman,,Mr. Altman
"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email.",Named Person Sources,Sam Altman,,he
“Any amount of criticism from a board member carries a lot of weight.”,Named Person Sources,Sam Altman,,he
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.",Named Person Sources,Ilya Sutskever,,"Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity"
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.",Named Person Sources,Helen Toner,,
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations.",Named Person Sources,Ilya Sutskever,,Mr. Sutskever
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations.",Named Person Sources,Sam Altman,,Mr. Altman
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Named Person Sources,Sam Altman,,Mr. Altman
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Named Person Sources,Ilya Sutskever,,he
Mr. Sutskever’s frustration with Mr. Altman echoed what had happened in 2021 when another senior A.I. scientist left OpenAI to form Anthropic.,Named Person Sources,Ilya Sutskever,,Mr. Sutskever
Mr. Sutskever’s frustration with Mr. Altman echoed what had happened in 2021 when another senior A.I. scientist left OpenAI to form Anthropic.,Named Person Sources,Sam Altman,,
That scientist and other researchers went to the board to try to push Mr. Altman out.,Named Person Sources,Sam Altman,,
"After they failed, they gave up and departed, according to three people familiar with the attempt to push Mr. Altman out.",Named Person Sources,Sam Altman,,
