SourcedStatement,SourceType,Name,Title,Justification
"Researchers at the University of Pennsylvania are surveying the 1,000 Breathe participants, along with a control group of people not receiving funds.",Named Organization Sources,University of Pennsylvania,,
"While there were positive impacts on mental health and wellbeing the first year, when the pandemic broke out, the benefits were less pronounced, according to Penn’s research.",Named Organization Sources,Penn,,
"The lab found, in general, that food and groceries are the top way participants are spending money, making up 35% of the funds spent.",Named Organization Sources,Stanford Guaranteed Income Lab,,
"The program’s coaches, provided through Wilmington-based Strength Based Community Change, personally support participants as their lives change.",Named Organization Sources,Strength Based Community Change,,
"Strength Based Community Change also offers workshops on financial literacy, investing and credit repair.",Named Organization Sources,Strength Based Community Change,,
"“With all the struggling I was doing, my attitude took a hit,” Kahlia said.",Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
"“The more you witness yourself being down and out, the more you feel down and out, and the more stuck you feel.”",Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
"The pilot program will allow researchers to track its impact in a large, diverse region, said Sean Kline, director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country.",Named Person Sources,Sean Kline,director of the Stanford Basic Income Lab,"director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
"“Whenever L.A. city or county or Chicago or New York do something bold like this, it’s a really important signal that this big policy idea found its footing during COVID and represents a possible way forward in terms of supporting low income people across America,” Kline said.",Named Person Sources,Sean Kline,director of the Stanford Basic Income Lab,"director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
"One question the Breathe program raises, Kline said, is what does it mean to have extra money for months versus several years?",Named Person Sources,Sean Kline,director of the Stanford Basic Income Lab,"director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
"“If you knew the money was coming for three years, it’s a much longer runway.",Named Person Sources,Sean Kline,director of the Stanford Basic Income Lab,"director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
Can you go back to school?,Named Person Sources,Sean Kline,director of the Stanford Basic Income Lab,"director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
Can you quit your job now and look for a new one?,Named Person Sources,Sean Kline,director of the Stanford Basic Income Lab,"director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
Can you care for your aging parents?”,Named Person Sources,Sean Kline,director of the Stanford Basic Income Lab,"director of the Stanford Basic Income Lab, which studies guaranteed income programs across the country."
"Every six months, program participants and members in the control group receive the same survey questions about their wellbeing, financially and mentally, said Amy Castro, director of Penn’s Center for Guaranteed Income Research.",Named Person Sources,Amy Castro,director of Penn’s Center for Guaranteed Income Research,director of Penn’s Center for Guaranteed Income Research.
"“There is so much we don’t know yet,” Castro said.",Named Person Sources,Amy Castro,director of Penn’s Center for Guaranteed Income Research,director of Penn’s Center for Guaranteed Income Research.
“We don’t know how long people need to receive cash to create what level of change.”,Named Person Sources,Amy Castro,director of Penn’s Center for Guaranteed Income Research,director of Penn’s Center for Guaranteed Income Research.
"More than halfway through the Breathe program, Kahlia said she and her business remain a work in progress, but the funds have given her an ability to move forward in a way she hadn’t before.",Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
"“It’s taking me from always putting out fires to being able to actually make some moves to advance, not just being stuck,” Kahlia said.",Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
"“I didn’t expect to be accepted,” to the Breathe program, Kahlia said.",Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
"“When I was, I was really, really pleasantly surprised.",Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
It definitely took the edge off.”,Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
Kahlia said she doesn’t keep track of how she spends the Breathe money.,Named Person Sources,Kipp Kahlia,,"The Long Beach guitarist used to tour the country with reggae artists.; Kahlia was selected as one of 1,000 participants in L.A. County’s guaranteed income program, called Breathe."
